Column,Value,Count
소재_경사정보_V6,88.0,1963
소재_경사정보_V6,96.0,1384
소재_위사정보_V6,81.0,1963
소재_위사정보_V6,72.0,1384
소재_제직정보_V3,242.0,1308
소재_제직정보_V3,236.0,1077
소재_제직정보_V3,237.0,962
전처리_정보_V3,1.0,3021
전처리_정보_V3,0.5,326
배합_염료1_Yellow,0.0,2720
배합_염료1_Yellow,2.0,96
배합_염료1_Yellow,1.333,74
배합_염료1_Yellow,0.017,63
배합_염료1_Yellow,0.667,59
배합_염료1_Yellow,0.033,58
배합_염료1_Yellow,4.0,58
배합_염료1_Yellow,1.0,42
배합_염료1_Yellow,2.667,31
배합_염료1_Yellow,0.05,24
배합_염료1_Yellow,0.333,23
배합_염료1_Yellow,6.0,21
배합_염료1_Yellow,0.5,16
배합_염료1_Yellow,0.167,13
배합_염료1_Yellow,0.1,11
배합_염료1_Yellow,3.0,10
배합_염료1_Yellow,2.5,9
배합_염료1_Yellow,0.067,8
배합_염료1_Yellow,1.5,6
배합_염료1_Yellow,0.833,3
배합_염료1_Yellow,1.667,2
배합_염료1_Red,0.0,2719
배합_염료1_Red,2.0,103
배합_염료1_Red,1.333,70
배합_염료1_Red,0.017,65
배합_염료1_Red,0.667,63
배합_염료1_Red,0.033,56
배합_염료1_Red,4.0,49
배합_염료1_Red,1.0,41
배합_염료1_Red,2.667,28
배합_염료1_Red,0.333,27
배합_염료1_Red,0.05,22
배합_염료1_Red,6.0,22
배합_염료1_Red,0.5,16
배합_염료1_Red,0.167,15
배합_염료1_Red,3.0,12
배합_염료1_Red,0.1,11
배합_염료1_Red,2.5,8
배합_염료1_Red,0.067,8
배합_염료1_Red,1.5,7
배합_염료1_Red,0.833,3
배합_염료1_Red,1.667,2
배합_염료1_Blue,0.0,2724
배합_염료1_Blue,2.0,99
배합_염료1_Blue,1.333,81
배합_염료1_Blue,0.017,66
배합_염료1_Blue,0.667,63
배합_염료1_Blue,4.0,53
배합_염료1_Blue,0.033,52
배합_염료1_Blue,1.0,41
배합_염료1_Blue,0.333,26
배합_염료1_Blue,2.667,24
배합_염료1_Blue,0.05,21
배합_염료1_Blue,6.0,19
배합_염료1_Blue,0.5,15
배합_염료1_Blue,0.167,14
배합_염료1_Blue,0.1,10
배합_염료1_Blue,3.0,10
배합_염료1_Blue,2.5,9
배합_염료1_Blue,1.5,8
배합_염료1_Blue,0.067,7
배합_염료1_Blue,0.833,3
배합_염료1_Blue,1.667,2
배합_염료2_Yellow,0.0,3192
배합_염료2_Yellow,2.0,26
배합_염료2_Yellow,6.0,21
배합_염료2_Yellow,0.05,16
배합_염료2_Yellow,1.0,13
배합_염료2_Yellow,0.667,10
배합_염료2_Yellow,0.033,10
배합_염료2_Yellow,0.333,8
배합_염료2_Yellow,0.5,7
배합_염료2_Yellow,1.333,7
배합_염료2_Yellow,4.0,7
배합_염료2_Yellow,0.167,6
배합_염료2_Yellow,0.017,6
배합_염료2_Yellow,0.067,3
배합_염료2_Yellow,0.833,3
배합_염료2_Yellow,0.1,2
배합_염료2_Yellow,2.5,2
배합_염료2_Yellow,3.0,2
배합_염료2_Yellow,1.667,2
배합_염료2_Yellow,2.667,2
배합_염료2_Yellow,1.5,2
배합_염료2_Red,0.0,3194
배합_염료2_Red,2.0,25
배합_염료2_Red,6.0,21
배합_염료2_Red,0.05,17
배합_염료2_Red,1.0,13
배합_염료2_Red,0.333,9
배합_염료2_Red,0.667,9
배합_염료2_Red,0.033,9
배합_염료2_Red,0.5,8
배합_염료2_Red,1.333,7
배합_염료2_Red,0.017,6
배합_염료2_Red,4.0,6
배합_염료2_Red,0.167,5
배합_염료2_Red,0.067,3
배합_염료2_Red,0.833,3
배합_염료2_Red,0.1,2
배합_염료2_Red,2.5,2
배합_염료2_Red,3.0,2
배합_염료2_Red,1.667,2
배합_염료2_Red,2.667,2
배합_염료2_Red,1.5,2
배합_염료2_Blue,0.0,3194
배합_염료2_Blue,2.0,26
배합_염료2_Blue,0.05,18
배합_염료2_Blue,6.0,18
배합_염료2_Blue,1.0,13
배합_염료2_Blue,0.667,10
배합_염료2_Blue,0.033,9
배합_염료2_Blue,0.333,9
배합_염료2_Blue,0.5,7
배합_염료2_Blue,0.167,6
배합_염료2_Blue,1.333,6
배합_염료2_Blue,4.0,6
배합_염료2_Blue,0.017,6
배합_염료2_Blue,0.067,4
배합_염료2_Blue,0.833,3
배합_염료2_Blue,3.0,2
배합_염료2_Blue,2.5,2
배합_염료2_Blue,0.1,2
배합_염료2_Blue,1.5,2
배합_염료2_Blue,1.667,2
배합_염료2_Blue,2.667,2
배합_염료3_Yellow,0.0,2816
배합_염료3_Yellow,2.0,62
배합_염료3_Yellow,0.033,56
배합_염료3_Yellow,0.667,54
배합_염료3_Yellow,1.333,52
배합_염료3_Yellow,0.333,50
배합_염료3_Yellow,1.0,46
배합_염료3_Yellow,0.167,35
배합_염료3_Yellow,4.0,33
배합_염료3_Yellow,0.017,31
배합_염료3_Yellow,0.067,22
배합_염료3_Yellow,2.667,21
배합_염료3_Yellow,0.5,17
배합_염료3_Yellow,6.0,14
배합_염료3_Yellow,0.1,11
배합_염료3_Yellow,0.05,11
배합_염료3_Yellow,3.0,10
배합_염료3_Yellow,2.5,2
배합_염료3_Yellow,0.833,2
배합_염료3_Yellow,1.5,1
배합_염료3_Yellow,1.667,1
배합_염료3_Red,0.0,2821
배합_염료3_Red,2.0,60
배합_염료3_Red,0.033,54
배합_염료3_Red,0.667,54
배합_염료3_Red,0.333,52
배합_염료3_Red,1.333,51
배합_염료3_Red,1.0,41
배합_염료3_Red,4.0,35
배합_염료3_Red,0.167,34
배합_염료3_Red,0.017,33
배합_염료3_Red,0.067,23
배합_염료3_Red,2.667,19
배합_염료3_Red,0.5,16
배합_염료3_Red,6.0,13
배합_염료3_Red,0.1,12
배합_염료3_Red,0.05,12
배합_염료3_Red,3.0,10
배합_염료3_Red,1.5,2
배합_염료3_Red,2.5,2
배합_염료3_Red,1.667,2
배합_염료3_Red,0.833,1
배합_염료3_Blue,0.0,2825
배합_염료3_Blue,2.0,63
배합_염료3_Blue,0.033,56
배합_염료3_Blue,0.333,53
배합_염료3_Blue,0.667,51
배합_염료3_Blue,1.333,50
배합_염료3_Blue,1.0,40
배합_염료3_Blue,4.0,34
배합_염료3_Blue,0.167,32
배합_염료3_Blue,0.017,31
배합_염료3_Blue,0.067,23
배합_염료3_Blue,2.667,20
배합_염료3_Blue,0.5,17
배합_염료3_Blue,0.05,12
배합_염료3_Blue,0.1,12
배합_염료3_Blue,6.0,12
배합_염료3_Blue,3.0,10
배합_염료3_Blue,2.5,2
배합_염료3_Blue,1.5,2
배합_염료3_Blue,0.833,1
배합_염료3_Blue,1.667,1
배합_염료1_Black,0.0,3205
배합_염료1_Black,6.0,25
배합_염료1_Black,2.0,19
배합_염료1_Black,0.05,17
배합_염료1_Black,1.0,15
배합_염료1_Black,4.0,15
배합_염료1_Black,3.0,13
배합_염료1_Black,0.5,11
배합_염료1_Black,0.1,10
배합_염료1_Black,1.5,7
배합_염료1_Black,2.5,7
배합_염료1_Black,5.0,3
배합_염료2_Black,0.0,3266
배합_염료2_Black,6.0,23
배합_염료2_Black,2.0,21
배합_염료2_Black,0.05,15
배합_염료2_Black,4.0,8
배합_염료2_Black,1.0,7
배합_염료2_Black,5.0,3
배합_염료2_Black,3.0,2
배합_염료2_Black,0.1,1
배합_염료2_Black,2.5,1
배합_염료3_Black,0.0,3240
배합_염료3_Black,6.0,17
배합_염료3_Black,2.0,16
배합_염료3_Black,4.0,15
배합_염료3_Black,1.0,14
배합_염료3_Black,3.0,12
배합_염료3_Black,0.1,10
배합_염료3_Black,0.5,10
배합_염료3_Black,0.05,9
배합_염료3_Black,5.0,3
배합_염료3_Black,2.5,1
배합_염료1_Grey,0.0,3209
배합_염료1_Grey,6.0,22
배합_염료1_Grey,2.0,19
배합_염료1_Grey,0.05,18
배합_염료1_Grey,4.0,16
배합_염료1_Grey,1.0,13
배합_염료1_Grey,3.0,13
배합_염료1_Grey,0.5,11
배합_염료1_Grey,0.1,9
배합_염료1_Grey,1.5,8
배합_염료1_Grey,2.5,6
배합_염료1_Grey,5.0,3
배합_염료2_Grey,0.0,3256
배합_염료2_Grey,2.0,25
배합_염료2_Grey,6.0,25
배합_염료2_Grey,0.05,18
배합_염료2_Grey,1.0,7
배합_염료2_Grey,4.0,7
배합_염료2_Grey,3.0,3
배합_염료2_Grey,5.0,3
배합_염료2_Grey,0.1,1
배합_염료2_Grey,0.5,1
배합_염료2_Grey,2.5,1
배합_염료3_Grey,0.0,3237
배합_염료3_Grey,4.0,18
배합_염료3_Grey,6.0,18
배합_염료3_Grey,2.0,17
배합_염료3_Grey,1.0,14
배합_염료3_Grey,0.1,11
배합_염료3_Grey,3.0,10
배합_염료3_Grey,0.05,9
배합_염료3_Grey,0.5,8
배합_염료3_Grey,5.0,3
배합_염료3_Grey,1.5,1
배합_염료3_Grey,2.5,1
배합_염료2_Brown,0.0,3265
배합_염료2_Brown,2.0,20
배합_염료2_Brown,6.0,20
배합_염료2_Brown,0.05,17
배합_염료2_Brown,1.0,6
배합_염료2_Brown,4.0,5
배합_염료2_Brown,0.5,3
배합_염료2_Brown,1.5,3
배합_염료2_Brown,2.5,3
배합_염료2_Brown,3.0,3
배합_염료2_Brown,0.1,1
배합_염료2_Brown,5.0,1
배합_염료1_Brown,0.0,3201
배합_염료1_Brown,2.0,22
배합_염료1_Brown,0.05,22
배합_염료1_Brown,6.0,20
배합_염료1_Brown,1.0,15
배합_염료1_Brown,0.5,13
배합_염료1_Brown,4.0,13
배합_염료1_Brown,0.1,11
배합_염료1_Brown,1.5,10
배합_염료1_Brown,3.0,10
배합_염료1_Brown,2.5,9
배합_염료1_Brown,5.0,1
배합_염료3_Brown,0.0,3240
배합_염료3_Brown,1.0,16
배합_염료3_Brown,2.0,15
배합_염료3_Brown,4.0,13
배합_염료3_Brown,0.5,12
배합_염료3_Brown,6.0,12
배합_염료3_Brown,3.0,11
배합_염료3_Brown,0.05,11
배합_염료3_Brown,0.1,10
배합_염료3_Brown,1.5,3
배합_염료3_Brown,2.5,3
배합_염료3_Brown,5.0,1
배합_조제_V1,0.3,3344
배합_조제_V1,0.0,3
배합_조제_V2,0.2,3018
배합_조제_V2,0.5,326
배합_조제_V2,0.0,3
배합_조제_V3,0.0,3295
배합_조제_V3,4.0,52
배합_조제_V4,0.0,3096
배합_조제_V4,4.0,105
배합_조제_V4,2.0,57
배합_조제_V4,3.0,55
배합_조제_V4,1.5,34
배합_조제_V5,0.0,3235
배합_조제_V5,4.0,70
배합_조제_V5,2.0,21
배합_조제_V5,3.0,21
배합_조제_V6,0.0,3233
배합_조제_V6,4.0,71
배합_조제_V6,3.0,22
배합_조제_V6,2.0,21
염색_정보_V2,1.5,3146
염색_정보_V2,0.5,201
염색_정보_V5,0.75,2938
염색_정보_V5,1.5,206
염색_정보_V5,0.5,203
염색_정보_V8,1.458333333,2236
