,Column,Value,Count
0,소재_경사정보_V6,88.0,1963
1,소재_경사정보_V6,96.0,1384
2,소재_위사정보_V6,81.0,1963
3,소재_위사정보_V6,72.0,1384
4,소재_제직정보_V3,242.0,1308
5,소재_제직정보_V3,236.0,1077
6,소재_제직정보_V3,237.0,962
7,전처리_정보_V3,1.0,3021
8,전처리_정보_V3,0.5,326
9,배합_염료1_Yellow,0.0,2720
10,배합_염료1_Yellow,2.0,96
11,배합_염료1_Yellow,1.333,74
12,배합_염료1_Yellow,0.017,63
13,배합_염료1_Yellow,0.667,59
14,배합_염료1_Yellow,0.033,58
15,배합_염료1_Yellow,4.0,58
16,배합_염료1_Yellow,1.0,42
17,배합_염료1_Yellow,2.667,31
18,배합_염료1_Yellow,0.05,24
19,배합_염료1_Yellow,0.333,23
20,배합_염료1_Yellow,6.0,21
21,배합_염료1_Yellow,0.5,16
22,배합_염료1_Yellow,0.167,13
23,배합_염료1_Yellow,0.1,11
24,배합_염료1_Yellow,3.0,10
25,배합_염료1_Yellow,2.5,9
26,배합_염료1_Yellow,0.067,8
27,배합_염료1_Yellow,1.5,6
28,배합_염료1_Yellow,0.833,3
29,배합_염료1_Yellow,1.667,2
30,배합_염료1_Red,0.0,2719
31,배합_염료1_Red,2.0,103
32,배합_염료1_Red,1.333,70
33,배합_염료1_Red,0.017,65
34,배합_염료1_Red,0.667,63
35,배합_염료1_Red,0.033,56
36,배합_염료1_Red,4.0,49
37,배합_염료1_Red,1.0,41
38,배합_염료1_Red,2.667,28
39,배합_염료1_Red,0.333,27
40,배합_염료1_Red,0.05,22
41,배합_염료1_Red,6.0,22
42,배합_염료1_Red,0.5,16
43,배합_염료1_Red,0.167,15
44,배합_염료1_Red,3.0,12
45,배합_염료1_Red,0.1,11
46,배합_염료1_Red,2.5,8
47,배합_염료1_Red,0.067,8
48,배합_염료1_Red,1.5,7
49,배합_염료1_Red,0.833,3
50,배합_염료1_Red,1.667,2
51,배합_염료1_Blue,0.0,2724
52,배합_염료1_Blue,2.0,99
53,배합_염료1_Blue,1.333,81
54,배합_염료1_Blue,0.017,66
55,배합_염료1_Blue,0.667,63
56,배합_염료1_Blue,4.0,53
57,배합_염료1_Blue,0.033,52
58,배합_염료1_Blue,1.0,41
59,배합_염료1_Blue,0.333,26
60,배합_염료1_Blue,2.667,24
61,배합_염료1_Blue,0.05,21
62,배합_염료1_Blue,6.0,19
63,배합_염료1_Blue,0.5,15
64,배합_염료1_Blue,0.167,14
65,배합_염료1_Blue,0.1,10
66,배합_염료1_Blue,3.0,10
67,배합_염료1_Blue,2.5,9
68,배합_염료1_Blue,1.5,8
69,배합_염료1_Blue,0.067,7
70,배합_염료1_Blue,0.833,3
71,배합_염료1_Blue,1.667,2
72,배합_염료2_Yellow,0.0,3192
73,배합_염료2_Yellow,2.0,26
74,배합_염료2_Yellow,6.0,21
75,배합_염료2_Yellow,0.05,16
76,배합_염료2_Yellow,1.0,13
77,배합_염료2_Yellow,0.667,10
78,배합_염료2_Yellow,0.033,10
79,배합_염료2_Yellow,0.333,8
80,배합_염료2_Yellow,0.5,7
81,배합_염료2_Yellow,1.333,7
82,배합_염료2_Yellow,4.0,7
83,배합_염료2_Yellow,0.167,6
84,배합_염료2_Yellow,0.017,6
85,배합_염료2_Yellow,0.067,3
86,배합_염료2_Yellow,0.833,3
87,배합_염료2_Yellow,0.1,2
88,배합_염료2_Yellow,2.5,2
89,배합_염료2_Yellow,3.0,2
90,배합_염료2_Yellow,1.667,2
91,배합_염료2_Yellow,2.667,2
92,배합_염료2_Yellow,1.5,2
93,배합_염료2_Red,0.0,3194
94,배합_염료2_Red,2.0,25
95,배합_염료2_Red,6.0,21
96,배합_염료2_Red,0.05,17
97,배합_염료2_Red,1.0,13
98,배합_염료2_Red,0.333,9
99,배합_염료2_Red,0.667,9
100,배합_염료2_Red,0.033,9
101,배합_염료2_Red,0.5,8
102,배합_염료2_Red,1.333,7
103,배합_염료2_Red,0.017,6
104,배합_염료2_Red,4.0,6
105,배합_염료2_Red,0.167,5
106,배합_염료2_Red,0.067,3
107,배합_염료2_Red,0.833,3
108,배합_염료2_Red,0.1,2
109,배합_염료2_Red,2.5,2
110,배합_염료2_Red,3.0,2
111,배합_염료2_Red,1.667,2
