DataFrame,Column,Unique Value,Count
std1,위사_소재명_enc,88.0,715
std1,경사_성상_비율 #3_std,81.0,715
std1,제직_중량_생지_std,237.0,715
std1,전처리_CH3COOH_std,1.0,715
std1,배합_Sunsolt RM-340S_std,0.3,715
std1,배합_빙초산_std,0.2,715
std1,배합_UVK-200_std,0.0,715
std1,배합_Fadex® TS liq_std,0.0,715
std1,배합_UVK-400 H/C_std,0.0,715
std1,배합_Sera Fast P-UVC_std,0.0,715
std1,Lab 염색 하강속도 #1_std,1.97222,715
std1,후처리_NaOH_std,2.0,715
std1,후처리_Sera Con M-FAS_std,4.0,715
std2,위사_소재명_enc,88.0,360
std2,경사_성상_비율 #3_std,81.0,360
std2,제직_중량_생지_std,237.0,360
std2,전처리_CH3COOH_std,0.5,360
std2,배합_Sunsolt RM-340S_std,0.3,360
std2,배합_빙초산_std,0.5,360
std2,Lab 염색 상승속도 #1_std,1.5,360
std2,Lab 염색 상승속도 #2_std,0.75,360
std2,Lab 염색 상승온도 #3 유지시간_std,60.0,360
