,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
26280,3,01-01 00:00,계룡,0.2338072669826224,0.0783333333333333,0.0204603580562659,0.0,0.667
26281,3,01-01 01:00,계룡,0.2022116903633491,0.115,0.0179028132992327,0.0,0.771
26282,3,01-01 02:00,계룡,0.1706161137440758,0.68,0.0153452685421994,0.0,0.849
26283,3,01-01 03:00,계룡,0.1611374407582938,0.1069444444444444,0.0127877237851662,0.0,0.856
26284,3,01-01 04:00,계룡,0.1627172195892575,0.0,0.0051150895140664,0.0,0.887
26285,3,01-01 05:00,계룡,0.1579778830963665,0.0,0.0051150895140664,0.0,0.868
26286,3,01-01 06:00,계룡,0.1627172195892575,0.0,0.0102301790281329,0.0,0.875
26287,3,01-01 07:00,계룡,0.2148499210110584,0.0,0.0,0.0,0.869
26288,3,01-01 08:00,계룡,0.2575039494470774,0.0,0.0051150895140664,0.0,0.7100000000000001
26289,3,01-01 09:00,계룡,0.2875197472353871,0.0,0.0102301790281329,0.0,0.628
26290,3,01-01 10:00,계룡,0.2985781990521327,0.5394444444444444,0.0383631713554987,0.0,0.611
26291,3,01-01 11:00,계룡,0.3127962085308057,0.3730555555555556,0.0127877237851662,0.0,0.544
26292,3,01-01 12:00,계룡,0.3317535545023697,0.0,0.0076726342710997,0.0,0.513
26293,3,01-01 13:00,계룡,0.3364928909952607,0.0,0.0102301790281329,0.0,0.501
26294,3,01-01 14:00,계룡,0.330173775671406,0.6366666666666667,0.0306905370843989,0.0,0.449
26295,3,01-01 15:00,계룡,0.325434439178515,0.0,0.0102301790281329,0.0,0.481
26296,3,01-01 16:00,계룡,0.3080568720379147,0.4119444444444445,0.0153452685421994,0.0,0.592
26297,3,01-01 17:00,계룡,0.2622432859399684,0.0,0.0,0.0,0.738
26298,3,01-01 18:00,계룡,0.2290679304897314,0.0,0.0102301790281329,0.0,0.788
26299,3,01-01 19:00,계룡,0.2227488151658767,0.0,0.0,0.0,0.798
26300,3,01-01 20:00,계룡,0.1990521327014218,0.0,0.0025575447570332,0.0,0.8370000000000001
26301,3,01-01 21:00,계룡,0.1943127962085308,0.0,0.0051150895140664,0.0,0.856
26302,3,01-01 22:00,계룡,0.2164296998420221,0.0,0.0102301790281329,0.0,0.841
26303,3,01-01 23:00,계룡,0.2338072669826224,0.7633333333333334,0.0127877237851662,0.0,0.8270000000000001
26304,3,01-02 00:00,계룡,0.2006319115323855,0.0,0.0,0.0,0.875
26305,3,01-02 01:00,계룡,0.2274881516587678,0.0,0.0025575447570332,0.0,0.853
26306,3,01-02 02:00,계룡,0.2353870458135861,0.0,0.0051150895140664,0.0,0.8470000000000001
26307,3,01-02 03:00,계룡,0.2338072669826224,0.0,0.0076726342710997,0.0,0.8670000000000001
26308,3,01-02 04:00,계룡,0.2511848341232228,0.0,0.0102301790281329,0.0,0.859
26309,3,01-02 05:00,계룡,0.2575039494470774,0.0,0.0025575447570332,0.0,0.8770000000000001
26310,3,01-02 06:00,계룡,0.2669826224328594,0.0,0.0025575447570332,0.0,0.868
26311,3,01-02 07:00,계룡,0.2843601895734597,0.0,0.0102301790281329,0.0,0.861
26312,3,01-02 08:00,계룡,0.3285939968404424,0.0,0.0076726342710997,0.0,0.75
26313,3,01-02 09:00,계룡,0.3712480252764613,0.1713888888888889,0.0179028132992327,0.0,0.698
26314,3,01-02 10:00,계룡,0.3807266982622433,0.4041666666666667,0.0281329923273657,0.0,0.622
26315,3,01-02 11:00,계룡,0.3996840442338073,0.4369444444444444,0.0511508951406649,0.0,0.499
26316,3,01-02 12:00,계룡,0.4107424960505529,0.5636111111111112,0.0588235294117647,0.0,0.499
26317,3,01-02 13:00,계룡,0.4091627172195893,0.5844444444444444,0.0664961636828644,0.0,0.513
26318,3,01-02 14:00,계룡,0.3917851500789889,0.5983333333333334,0.0613810741687979,0.0,0.5519999999999999
26319,3,01-02 15:00,계룡,0.3854660347551343,0.5986111111111111,0.0818414322250639,0.0,0.603
26320,3,01-02 16:00,계룡,0.3665086887835703,0.6158333333333333,0.0434782608695652,0.0,0.807
26321,3,01-02 17:00,계룡,0.3649289099526067,0.5658333333333333,0.0332480818414322,0.0,0.851
26322,3,01-02 18:00,계룡,0.3601895734597157,0.5025000000000001,0.0204603580562659,0.0056818181818181,0.939
26323,3,01-02 19:00,계룡,0.3649289099526067,0.5366666666666666,0.0358056265984654,0.0,0.909
26324,3,01-02 20:00,계룡,0.3522906793048973,0.0,0.0,0.0,0.917
26325,3,01-02 21:00,계룡,0.339652448657188,0.0,0.0102301790281329,0.0,0.942
26326,3,01-02 22:00,계룡,0.3333333333333333,0.0,0.0025575447570332,0.0,0.959
26327,3,01-02 23:00,계룡,0.311216429699842,0.0,0.0051150895140664,0.0,0.956
26328,3,01-03 00:00,계룡,0.2701421800947867,0.0,0.0051150895140664,0.0,0.928
26329,3,01-03 01:00,계룡,0.2590837282780411,0.0,0.0025575447570332,0.0,0.93
26330,3,01-03 02:00,계룡,0.2812006319115324,0.0,0.0102301790281329,0.0,0.938
26331,3,01-03 03:00,계룡,0.2622432859399684,0.0,0.0,0.0,0.929
26332,3,01-03 04:00,계룡,0.2527646129541864,0.0,0.0076726342710997,0.0,0.924
26333,3,01-03 05:00,계룡,0.2385466034755134,0.0,0.0025575447570332,0.0,0.91
26334,3,01-03 06:00,계룡,0.2464454976303317,0.0,0.0025575447570332,0.0,0.924
26335,3,01-03 07:00,계룡,0.3048973143759874,0.0,0.0025575447570332,0.0,0.943
26336,3,01-03 08:00,계룡,0.3886255924170616,0.0,0.0051150895140664,0.0,0.895
26337,3,01-03 09:00,계룡,0.4676145339652449,0.3783333333333333,0.0281329923273657,0.0,0.638
26338,3,01-03 10:00,계룡,0.4928909952606635,0.5827777777777778,0.0895140664961636,0.0,0.501
26339,3,01-03 11:00,계룡,0.5023696682464456,0.5855555555555556,0.0971867007672634,0.0,0.497
26340,3,01-03 12:00,계룡,0.5039494470774092,0.5658333333333333,0.0792838874680307,0.0,0.53
26341,3,01-03 13:00,계룡,0.5165876777251186,0.6027777777777777,0.1355498721227621,0.0,0.543
26342,3,01-03 14:00,계룡,0.5086887835703002,0.5847222222222223,0.0997442455242966,0.0,0.571
26343,3,01-03 15:00,계룡,0.5023696682464456,0.5611111111111111,0.1023017902813299,0.0,0.611
26344,3,01-03 16:00,계룡,0.4944707740916272,0.57,0.0767263427109974,0.0,0.645
26345,3,01-03 17:00,계룡,0.4928909952606635,0.5483333333333333,0.1202046035805626,0.0,0.696
26346,3,01-03 18:00,계룡,0.4770932069510269,0.6516666666666667,0.0409207161125319,0.0,0.758
26347,3,01-03 19:00,계룡,0.4676145339652449,0.6277777777777778,0.0690537084398977,0.0,0.8150000000000001
26348,3,01-03 20:00,계룡,0.4597156398104265,0.7502777777777778,0.0588235294117647,0.0,0.848
26349,3,01-03 21:00,계룡,0.3933649289099526,0.0,0.0102301790281329,0.0,0.937
26350,3,01-03 22:00,계룡,0.3601895734597157,0.4258333333333334,0.0230179028132992,0.0,0.949
26351,3,01-03 23:00,계룡,0.3475513428120063,0.893888888888889,0.0204603580562659,0.0,0.953
26352,3,01-04 00:00,계룡,0.3428120063191153,0.0,0.0025575447570332,0.0,0.972
26353,3,01-04 01:00,계룡,0.339652448657188,0.2969444444444444,0.0153452685421994,0.0,0.974
26354,3,01-04 02:00,계룡,0.3096366508688783,0.0,0.0,0.0,0.954
26355,3,01-04 03:00,계룡,0.282780410742496,0.0,0.0,0.0,0.934
26356,3,01-04 04:00,계룡,0.2796208530805687,0.0,0.0,0.0,0.934
26357,3,01-04 05:00,계룡,0.2701421800947867,0.0,0.0102301790281329,0.0,0.926
26358,3,01-04 06:00,계룡,0.2638230647709321,0.0,0.0051150895140664,0.0,0.923
26359,3,01-04 07:00,계룡,0.330173775671406,0.0,0.0025575447570332,0.0,0.956
26360,3,01-04 08:00,계룡,0.4044233807266983,0.0,0.0102301790281329,0.0,0.7120000000000001
26361,3,01-04 09:00,계룡,0.4723538704581359,0.4677777777777778,0.0255754475703324,0.0,0.2199999999999999
26362,3,01-04 10:00,계룡,0.4755134281200632,0.2955555555555555,0.0767263427109974,0.0,0.101
26363,3,01-04 11:00,계룡,0.5055292259083729,0.1619444444444444,0.0409207161125319,0.0,0.124
26364,3,01-04 12:00,계룡,0.5165876777251186,0.3541666666666667,0.0613810741687979,0.0,0.175
26365,3,01-04 13:00,계룡,0.5371248025276462,0.3819444444444445,0.0460358056265984,0.0,0.169
26366,3,01-04 14:00,계룡,0.5387045813586099,0.3919444444444444,0.0409207161125319,0.0,0.1699999999999999
26367,3,01-04 15:00,계룡,0.4976303317535545,0.7850000000000001,0.0230179028132992,0.0,0.314
26368,3,01-04 16:00,계룡,0.3807266982622433,0.0,0.0076726342710997,0.0,0.596
26369,3,01-04 17:00,계룡,0.3333333333333333,0.0,0.0076726342710997,0.0,0.708
26370,3,01-04 18:00,계룡,0.3191153238546603,0.0,0.0051150895140664,0.0,0.7589999999999999
26371,3,01-04 19:00,계룡,0.3127962085308057,0.0,0.0025575447570332,0.0,0.81
26372,3,01-04 20:00,계룡,0.296998420221169,0.0,0.0,0.0,0.8180000000000001
26373,3,01-04 21:00,계룡,0.296998420221169,0.0,0.0,0.0,0.816
26374,3,01-04 22:00,계룡,0.2954186413902054,0.0,0.0,0.0,0.848
26375,3,01-04 23:00,계룡,0.2938388625592417,0.0,0.0,0.0,0.873
26376,3,01-05 00:00,계룡,0.3191153238546603,0.0,0.0,0.0,0.861
