,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
8760,1,01-01 00:00,공주,0.3949447077409163,0.0,0.0076726342710997,0.0,0.635
8761,1,01-01 01:00,공주,0.3949447077409163,0.7580555555555555,0.0153452685421994,0.0,0.6659999999999999
8762,1,01-01 02:00,공주,0.4075829383886256,0.6805555555555556,0.0281329923273657,0.0,0.62
8763,1,01-01 03:00,공주,0.39652448657188,0.7463888888888889,0.0153452685421994,0.0,0.8
8764,1,01-01 04:00,공주,0.3917851500789889,0.0,0.0102301790281329,0.0,0.841
8765,1,01-01 05:00,공주,0.3854660347551343,0.0,0.0076726342710997,0.0,0.873
8766,1,01-01 06:00,공주,0.3838862559241706,0.0,0.0076726342710997,0.0,0.865
8767,1,01-01 07:00,공주,0.3949447077409163,0.0,0.0025575447570332,0.0,0.816
8768,1,01-01 08:00,공주,0.4281200631911532,0.3952777777777778,0.0179028132992327,0.0,0.7220000000000001
8769,1,01-01 09:00,공주,0.4454976303317536,0.7033333333333334,0.0127877237851662,0.0,0.662
8770,1,01-01 10:00,공주,0.4849921011058452,0.5669444444444445,0.0204603580562659,0.0,0.548
8771,1,01-01 11:00,공주,0.5023696682464456,0.5677777777777778,0.0230179028132992,0.0,0.407
8772,1,01-01 12:00,공주,0.4976303317535545,0.7422222222222222,0.0358056265984654,0.0,0.41
8773,1,01-01 13:00,공주,0.510268562401264,0.5161111111111112,0.0332480818414322,0.0,0.365
8774,1,01-01 14:00,공주,0.5055292259083729,0.9952777777777778,0.0306905370843989,0.0,0.3419999999999999
8775,1,01-01 15:00,공주,0.4928909952606635,0.7930555555555556,0.0230179028132992,0.0,0.412
8776,1,01-01 16:00,공주,0.4802527646129542,0.9330555555555556,0.0255754475703324,0.0,0.4559999999999999
8777,1,01-01 17:00,공주,0.4707740916271722,0.9847222222222224,0.0179028132992327,0.0,0.4559999999999999
8778,1,01-01 18:00,공주,0.4565560821484992,0.0,0.0102301790281329,0.0,0.507
8779,1,01-01 19:00,공주,0.4502369668246446,0.8802777777777777,0.0230179028132992,0.0,0.496
8780,1,01-01 20:00,공주,0.4344391785150079,0.9172222222222224,0.0332480818414322,0.0,0.514
8781,1,01-01 21:00,공주,0.406003159557662,0.0005555555555555,0.0204603580562659,0.0,0.583
8782,1,01-01 22:00,공주,0.3649289099526067,0.0,0.0,0.0,0.721
8783,1,01-01 23:00,공주,0.3364928909952607,0.1633333333333333,0.0153452685421994,0.0,0.79
