,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
26280,3,01-01 00:00,대천항,0.2875197472353871,0.0530555555555555,0.0920716112531969,0.0,0.7170000000000001
26281,3,01-01 01:00,대천항,0.2812006319115324,0.0577777777777777,0.0895140664961636,0.0,0.694
26282,3,01-01 02:00,대천항,0.2685624012638231,0.115,0.0613810741687979,0.0,0.7050000000000001
26283,3,01-01 03:00,대천항,0.2717219589257504,0.1127777777777777,0.0306905370843989,0.0,0.749
26284,3,01-01 04:00,대천항,0.2622432859399684,0.0769444444444444,0.0588235294117647,0.0,0.758
26285,3,01-01 05:00,대천항,0.2559241706161137,0.0988888888888889,0.0792838874680307,0.0,0.765
26286,3,01-01 06:00,대천항,0.2654028436018957,0.0875,0.0792838874680307,0.0,0.746
26287,3,01-01 07:00,대천항,0.2654028436018957,0.0544444444444444,0.0664961636828644,0.0,0.726
26288,3,01-01 08:00,대천항,0.2938388625592417,0.0869444444444444,0.0332480818414322,0.0,0.662
26289,3,01-01 09:00,대천항,0.3096366508688783,0.0772222222222222,0.0690537084398977,0.0,0.614
26290,3,01-01 10:00,대천항,0.3333333333333333,0.0777777777777777,0.0153452685421994,0.0,0.53
26291,3,01-01 11:00,대천항,0.3380726698262243,0.5958333333333333,0.0204603580562659,0.0,0.499
26292,3,01-01 12:00,대천항,0.353870458135861,0.7444444444444445,0.0153452685421994,0.0,0.494
26293,3,01-01 13:00,대천항,0.3522906793048973,0.8719444444444444,0.0153452685421994,0.0,0.481
26294,3,01-01 14:00,대천항,0.344391785150079,0.9025,0.0153452685421994,0.0,0.491
26295,3,01-01 15:00,대천항,0.334913112164297,0.1594444444444444,0.0230179028132992,0.0,0.534
26296,3,01-01 16:00,대천항,0.330173775671406,0.2333333333333333,0.0230179028132992,0.0,0.5750000000000001
26297,3,01-01 17:00,대천항,0.3270142180094787,0.2127777777777777,0.0383631713554987,0.0,0.56
26298,3,01-01 18:00,대천항,0.315955766192733,0.1544444444444444,0.0281329923273657,0.0,0.573
26299,3,01-01 19:00,대천항,0.3143759873617693,0.1475,0.0511508951406649,0.0,0.617
26300,3,01-01 20:00,대천항,0.3127962085308057,0.1105555555555555,0.0613810741687979,0.0,0.633
26301,3,01-01 21:00,대천항,0.296998420221169,0.1216666666666666,0.0639386189258312,0.0,0.6709999999999999
26302,3,01-01 22:00,대천항,0.296998420221169,0.1188888888888888,0.0716112531969309,0.0,0.663
26303,3,01-01 23:00,대천항,0.2954186413902054,0.1036111111111111,0.0767263427109974,0.0,0.685
26304,3,01-02 00:00,대천항,0.292259083728278,0.1247222222222222,0.0613810741687979,0.0,0.7050000000000001
26305,3,01-02 01:00,대천항,0.3080568720379147,0.1741666666666667,0.0358056265984654,0.0,0.708
26306,3,01-02 02:00,대천항,0.2906793048973144,0.1497222222222222,0.0358056265984654,0.0,0.76
26307,3,01-02 03:00,대천항,0.2875197472353871,0.1766666666666666,0.0537084398976982,0.0,0.803
26308,3,01-02 04:00,대천항,0.2890995260663507,0.0938888888888888,0.0664961636828644,0.0,0.8
26309,3,01-02 05:00,대천항,0.2812006319115324,0.1255555555555555,0.0741687979539642,0.0,0.8130000000000001
26310,3,01-02 06:00,대천항,0.306477093206951,0.3066666666666667,0.0485933503836317,0.0,0.829
26311,3,01-02 07:00,대천항,0.320695102685624,0.3805555555555556,0.0639386189258312,0.0,0.826
26312,3,01-02 08:00,대천항,0.3364928909952607,0.3236111111111111,0.0767263427109974,0.0,0.777
26313,3,01-02 09:00,대천항,0.3696682464454977,0.3816666666666667,0.0588235294117647,0.0,0.718
26314,3,01-02 10:00,대천항,,,,,
26315,3,01-02 11:00,대천항,0.3996840442338073,0.45,0.0792838874680307,0.0,0.62
26316,3,01-02 12:00,대천항,0.3902053712480253,0.4916666666666667,0.0843989769820971,0.0,0.645
26317,3,01-02 13:00,대천항,0.3791469194312796,0.4405555555555555,0.0997442455242966,0.0,0.6589999999999999
26318,3,01-02 14:00,대천항,0.3665086887835703,0.4755555555555555,0.0946291560102301,0.0056818181818181,0.766
26319,3,01-02 15:00,대천항,0.3649289099526067,0.4127777777777778,0.0843989769820971,0.0056818181818181,0.7939999999999999
26320,3,01-02 16:00,대천항,0.368088467614534,0.3713888888888889,0.0895140664961636,0.0,0.807
26321,3,01-02 17:00,대천항,0.372827804107425,0.3197222222222222,0.0639386189258312,0.0,0.8
26322,3,01-02 18:00,대천항,0.3917851500789889,0.6519444444444444,0.0639386189258312,0.0,0.738
26323,3,01-02 19:00,대천항,0.4075829383886256,0.5894444444444444,0.0895140664961636,0.0,0.758
26324,3,01-02 20:00,대천항,0.4233807266982622,0.6186111111111111,0.1406649616368286,0.0,0.64
26325,3,01-02 21:00,대천항,0.4360189573459716,0.5947222222222223,0.1611253196930946,0.0,0.613
26326,3,01-02 22:00,대천항,0.4391785150078989,0.61,0.1483375959079284,0.0,0.646
26327,3,01-02 23:00,대천항,0.4312796208530806,0.6219444444444445,0.1227621483375959,0.0,0.646
26328,3,01-03 00:00,대천항,0.4296998420221169,0.6219444444444445,0.0997442455242966,0.0,0.6900000000000001
26329,3,01-03 01:00,대천항,0.4439178515007899,0.6088888888888889,0.1381074168797954,0.0,0.733
26330,3,01-03 02:00,대천항,0.4044233807266983,0.3908333333333333,0.0997442455242966,0.0,0.773
26331,3,01-03 03:00,대천항,0.4139020537124803,0.3669444444444444,0.1099744245524296,0.0,0.7909999999999999
26332,3,01-03 04:00,대천항,0.3981042654028436,0.3758333333333333,0.1099744245524296,0.0,0.8170000000000001
26333,3,01-03 05:00,대천항,0.4123222748815166,0.4147222222222222,0.1150895140664961,0.0,0.777
26334,3,01-03 06:00,대천항,0.4170616113744076,0.4094444444444445,0.1150895140664961,0.0,0.777
26335,3,01-03 07:00,대천항,0.4249605055292259,0.4205555555555555,0.1176470588235294,0.0,0.765
26336,3,01-03 08:00,대천항,0.4454976303317536,0.4097222222222222,0.1176470588235294,0.0,0.7170000000000001
26337,3,01-03 09:00,대천항,0.4644549763033175,0.4194444444444444,0.1099744245524296,0.0,0.682
26338,3,01-03 10:00,대천항,0.4786729857819906,0.465,0.0946291560102301,0.0,0.642
26339,3,01-03 11:00,대천항,0.4723538704581359,0.4522222222222222,0.1176470588235294,0.0,0.633
26340,3,01-03 12:00,대천항,0.4755134281200632,0.4388888888888889,0.1253196930946291,0.0,0.668
