,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
26280,3,01-01 00:00,성거,0.2290679304897314,0.0,0.0076726342710997,0.0,0.6970000000000001
26281,3,01-01 01:00,성거,0.2085308056872038,0.0,0.0102301790281329,0.0,0.754
26282,3,01-01 02:00,성거,0.1958925750394944,0.0,0.0051150895140664,0.0,0.797
26283,3,01-01 03:00,성거,0.1927330173775671,0.0,0.0102301790281329,0.0,0.808
26284,3,01-01 04:00,성거,0.2148499210110584,0.6291666666666667,0.0306905370843989,0.0,0.7639999999999999
26285,3,01-01 05:00,성거,0.2069510268562401,0.0,0.0076726342710997,0.0,0.775
26286,3,01-01 06:00,성거,0.2037914691943128,0.0036111111111111,0.0179028132992327,0.0,0.793
26287,3,01-01 07:00,성거,0.2211690363349131,0.0,0.0076726342710997,0.0,0.771
26288,3,01-01 08:00,성거,0.2401263823064771,0.0,0.0076726342710997,0.0,0.748
26289,3,01-01 09:00,성거,0.2701421800947867,0.0,0.0051150895140664,0.0,0.685
26290,3,01-01 10:00,성거,0.2875197472353871,0.0,0.0025575447570332,0.0,0.635
26291,3,01-01 11:00,성거,0.3001579778830964,0.0516666666666666,0.0153452685421994,0.0,0.598
26292,3,01-01 12:00,성거,0.3096366508688783,0.0186111111111111,0.0204603580562659,0.0,0.542
26293,3,01-01 13:00,성거,0.3222748815165877,0.9611111111111112,0.0204603580562659,0.0,0.513
26294,3,01-01 14:00,성거,0.3222748815165877,0.0,0.0076726342710997,0.0,0.39
26295,3,01-01 15:00,성거,0.3175355450236967,0.0,0.0051150895140664,0.0,0.507
26296,3,01-01 16:00,성거,0.3048973143759874,0.0594444444444444,0.0127877237851662,0.0,0.537
26297,3,01-01 17:00,성거,0.2985781990521327,0.0591666666666666,0.0153452685421994,0.0,0.53
26298,3,01-01 18:00,성거,0.2812006319115324,0.0,0.0051150895140664,0.0,0.589
26299,3,01-01 19:00,성거,0.2654028436018957,0.0,0.0076726342710997,0.0,0.638
26300,3,01-01 20:00,성거,0.2654028436018957,0.0694444444444444,0.0255754475703324,0.0,0.65
26301,3,01-01 21:00,성거,0.2669826224328594,0.0597222222222222,0.0153452685421994,0.0,0.651
26302,3,01-01 22:00,성거,0.2669826224328594,0.0,0.0051150895140664,0.0,0.658
26303,3,01-01 23:00,성거,0.2575039494470774,0.0,0.0025575447570332,0.0,0.685
26304,3,01-02 00:00,성거,0.2575039494470774,0.0,0.0,0.0,0.725
26305,3,01-02 01:00,성거,0.2606635071090047,0.6705555555555556,0.0204603580562659,0.0,0.726
26306,3,01-02 02:00,성거,0.2669826224328594,0.706388888888889,0.0127877237851662,0.0,0.7420000000000001
26307,3,01-02 03:00,성거,0.2590837282780411,0.0,0.0,0.0,0.793
26308,3,01-02 04:00,성거,0.2417061611374407,0.0816666666666666,0.0127877237851662,0.0,0.843
26309,3,01-02 05:00,성거,0.2338072669826224,0.0713888888888888,0.0255754475703324,0.0,0.826
26310,3,01-02 06:00,성거,0.2211690363349131,0.0347222222222222,0.0153452685421994,0.0,0.805
26311,3,01-02 07:00,성거,0.2290679304897314,0.0,0.0025575447570332,0.0,0.81
26312,3,01-02 08:00,성거,0.2938388625592417,0.6152777777777778,0.0255754475703324,0.0,0.754
26313,3,01-02 09:00,성거,0.3459715639810427,0.66,0.0511508951406649,0.0,0.6539999999999999
26314,3,01-02 10:00,성거,0.3601895734597157,0.6777777777777778,0.0383631713554987,0.0,0.607
26315,3,01-02 11:00,성거,0.3791469194312796,0.6491666666666667,0.0511508951406649,0.0,0.545
26316,3,01-02 12:00,성거,0.3996840442338073,0.6613888888888889,0.0485933503836317,0.0,0.522
26317,3,01-02 13:00,성거,0.3949447077409163,0.655,0.0358056265984654,0.0,0.529
26318,3,01-02 14:00,성거,0.382306477093207,0.6561111111111111,0.0895140664961636,0.0,0.646
26319,3,01-02 15:00,성거,0.382306477093207,0.6483333333333334,0.0537084398976982,0.0,0.6339999999999999
26320,3,01-02 16:00,성거,,,,,
26321,3,01-02 17:00,성거,,,,,
26322,3,01-02 18:00,성거,,,,,
26323,3,01-02 19:00,성거,,,,,
26324,3,01-02 20:00,성거,,,,,
26325,3,01-02 21:00,성거,,,,,
26326,3,01-02 22:00,성거,,,,,
26327,3,01-02 23:00,성거,0.3665086887835703,0.6597222222222222,0.0511508951406649,0.0,0.831
26328,3,01-03 00:00,성거,0.3665086887835703,0.6519444444444444,0.0613810741687979,0.0,0.826
26329,3,01-03 01:00,성거,0.3665086887835703,0.6827777777777778,0.0485933503836317,0.0,0.802
26330,3,01-03 02:00,성거,0.3649289099526067,0.6708333333333334,0.0409207161125319,0.0,0.783
26331,3,01-03 03:00,성거,0.3696682464454977,0.6652777777777779,0.0460358056265984,0.0,0.7589999999999999
26332,3,01-03 04:00,성거,0.3744075829383886,0.6441666666666667,0.0588235294117647,0.0,0.7370000000000001
26333,3,01-03 05:00,성거,0.3759873617693523,0.6683333333333333,0.0562659846547314,0.0,0.74
26334,3,01-03 06:00,성거,0.3870458135860979,0.6347222222222223,0.0690537084398977,0.0,0.67
26335,3,01-03 07:00,성거,0.39652448657188,0.655,0.0562659846547314,0.0,0.657
26336,3,01-03 08:00,성거,0.4265402843601896,0.6463888888888889,0.0639386189258312,0.0,0.606
26337,3,01-03 09:00,성거,0.4470774091627172,0.6297222222222222,0.0869565217391304,0.0,0.5650000000000001
