,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
17520,2,01-01 00:00,세종금남,0.368088467614534,0.0,0.0,0.0,0.7889999999999999
17521,2,01-01 01:00,세종금남,0.3665086887835703,0.0,0.0,0.0,0.775
17522,2,01-01 02:00,세종금남,0.3665086887835703,0.0,0.0,0.0,0.74
17523,2,01-01 03:00,세종금남,0.363349131121643,0.0,0.0,0.0,0.7789999999999999
17524,2,01-01 04:00,세종금남,0.372827804107425,0.6941666666666667,0.0281329923273657,0.0,0.716
17525,2,01-01 05:00,세종금남,0.3601895734597157,0.6175,0.0281329923273657,0.0,0.771
17526,2,01-01 06:00,세종금남,0.3522906793048973,0.0,0.0,0.0,0.78
17527,2,01-01 07:00,세종금남,0.3759873617693523,0.0,0.0076726342710997,0.0,0.7370000000000001
17528,2,01-01 08:00,세종금남,0.4139020537124803,0.8958333333333334,0.0383631713554987,0.0,0.559
17529,2,01-01 09:00,세종금남,0.4233807266982622,0.6972222222222223,0.0562659846547314,0.0,0.542
17530,2,01-01 10:00,세종금남,0.4502369668246446,0.9158333333333334,0.0434782608695652,0.0,0.488
17531,2,01-01 11:00,세종금남,0.4486571879936809,0.7197222222222223,0.0537084398976982,0.0,0.4519999999999999
17532,2,01-01 12:00,세종금남,0.4581358609794629,0.82,0.0511508951406649,0.0,0.425
17533,2,01-01 13:00,세종금남,0.4518167456556082,0.7358333333333333,0.0511508951406649,0.0,0.411
17534,2,01-01 14:00,세종금남,0.4486571879936809,0.7108333333333334,0.0588235294117647,0.0,0.449
17535,2,01-01 15:00,세종금남,0.4249605055292259,0.6813888888888889,0.0818414322250639,0.0,0.489
17536,2,01-01 16:00,세종금남,0.4107424960505529,0.7241666666666666,0.0741687979539642,0.0,0.513
17537,2,01-01 17:00,세종금남,0.3996840442338073,0.6858333333333334,0.0537084398976982,0.0,0.548
17538,2,01-01 18:00,세종금남,0.3917851500789889,0.695,0.0460358056265984,0.0,0.573
17539,2,01-01 19:00,세종금남,0.3838862559241706,0.6719444444444445,0.0409207161125319,0.0,0.601
17540,2,01-01 20:00,세종금남,0.3649289099526067,0.5886111111111112,0.0383631713554987,0.0,0.6689999999999999
17541,2,01-01 21:00,세종금남,0.3554502369668246,0.0,0.0,0.0,0.7839999999999999
17542,2,01-01 22:00,세종금남,0.382306477093207,0.5802777777777778,0.0255754475703324,0.0,0.658
17543,2,01-01 23:00,세종금남,0.3902053712480253,0.6494444444444445,0.0409207161125319,0.0,0.605
17544,2,01-02 00:00,세종금남,0.3886255924170616,0.6358333333333334,0.0255754475703324,0.0,0.616
17545,2,01-02 01:00,세종금남,0.3870458135860979,0.0,0.0076726342710997,0.0,0.636
17546,2,01-02 02:00,세종금남,0.3838862559241706,0.6288888888888889,0.0127877237851662,0.0,0.6489999999999999
17547,2,01-02 03:00,세종금남,0.3886255924170616,0.6966666666666668,0.0153452685421994,0.0,0.636
17548,2,01-02 04:00,세종금남,0.3791469194312796,0.0,0.0,0.0,0.7150000000000001
17549,2,01-02 05:00,세종금남,0.3712480252764613,0.2955555555555555,0.0179028132992327,0.0,0.739
17550,2,01-02 06:00,세종금남,0.363349131121643,0.0,0.0076726342710997,0.0,0.79
17551,2,01-02 07:00,세종금남,0.372827804107425,0.1058333333333333,0.0690537084398977,0.0,0.7589999999999999
17552,2,01-02 08:00,세종금남,0.3949447077409163,0.0713888888888888,0.0230179028132992,0.0,0.6970000000000001
17553,2,01-02 09:00,세종금남,0.406003159557662,0.7186111111111111,0.0690537084398977,0.0,0.567
17554,2,01-02 10:00,세종금남,0.4186413902053713,0.8069444444444445,0.0434782608695652,0.0,0.519
17555,2,01-02 11:00,세종금남,0.4281200631911532,0.723888888888889,0.0741687979539642,0.0,0.464
17556,2,01-02 12:00,세종금남,0.4265402843601896,0.7305555555555556,0.0639386189258312,0.0,0.4519999999999999
