,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
17520,2,01-01 00:00,세천,0.3649289099526067,0.0,0.0025575447570332,0.0,0.7889999999999999
17521,2,01-01 01:00,세천,0.368088467614534,0.0,0.0076726342710997,0.0,0.792
17522,2,01-01 02:00,세천,0.363349131121643,0.0,0.0076726342710997,0.0,0.792
17523,2,01-01 03:00,세천,0.3601895734597157,0.0,0.0076726342710997,0.0,0.8089999999999999
17524,2,01-01 04:00,세천,0.3712480252764613,0.5894444444444444,0.0127877237851662,0.0,0.8150000000000001
17525,2,01-01 05:00,세천,0.363349131121643,0.0,0.0025575447570332,0.0,0.829
17526,2,01-01 06:00,세천,0.3475513428120063,0.0,0.0076726342710997,0.0,0.821
17527,2,01-01 07:00,세천,0.368088467614534,0.8341666666666667,0.0153452685421994,0.0,0.75
17528,2,01-01 08:00,세천,0.3917851500789889,0.9294444444444444,0.0511508951406649,0.0,0.682
17529,2,01-01 09:00,세천,0.4107424960505529,0.6086111111111111,0.0358056265984654,0.0,0.638
17530,2,01-01 10:00,세천,0.4154818325434439,0.9436111111111112,0.0281329923273657,0.0,0.578
17531,2,01-01 11:00,세천,0.4233807266982622,0.9522222222222224,0.0434782608695652,0.0,0.543
17532,2,01-01 12:00,세천,0.4328593996840443,0.6711111111111111,0.0409207161125319,0.0,0.509
17533,2,01-01 13:00,세천,0.4375987361769353,0.9569444444444444,0.0485933503836317,0.0,0.4609999999999999
17534,2,01-01 14:00,세천,0.4502369668246446,0.9175,0.0485933503836317,0.0,0.476
17535,2,01-01 15:00,세천,0.4344391785150079,0.8347222222222223,0.0460358056265984,0.0,0.506
17536,2,01-01 16:00,세천,0.4091627172195893,0.8180555555555555,0.0281329923273657,0.0,0.5609999999999999
17537,2,01-01 17:00,세천,0.3933649289099526,0.6180555555555556,0.0332480818414322,0.0,0.635
17538,2,01-01 18:00,세천,0.3649289099526067,0.5377777777777778,0.0255754475703324,0.0,0.6809999999999999
17539,2,01-01 19:00,세천,0.358609794628752,0.7802777777777777,0.0153452685421994,0.0,0.682
17540,2,01-01 20:00,세천,0.3617693522906793,0.6338888888888888,0.0127877237851662,0.0,0.719
17541,2,01-01 21:00,세천,0.3412322274881517,0.0,0.0025575447570332,0.0,0.762
17542,2,01-01 22:00,세천,0.3554502369668246,0.0,0.0076726342710997,0.0,0.743
17543,2,01-01 23:00,세천,0.3744075829383886,0.0,0.0102301790281329,0.0,0.7150000000000001
17544,2,01-02 00:00,세천,0.3744075829383886,0.0,0.0025575447570332,0.0,0.713
17545,2,01-02 01:00,세천,0.3854660347551343,0.7116666666666667,0.0230179028132992,0.0,0.7150000000000001
17546,2,01-02 02:00,세천,0.382306477093207,0.7372222222222222,0.0127877237851662,0.0,0.7270000000000001
17547,2,01-02 03:00,세천,0.3886255924170616,0.6188888888888889,0.0358056265984654,0.0,0.7100000000000001
17548,2,01-02 04:00,세천,0.3870458135860979,0.731388888888889,0.0179028132992327,0.0,0.733
17549,2,01-02 05:00,세천,0.3870458135860979,0.6252777777777778,0.0358056265984654,0.0,0.7570000000000001
17550,2,01-02 06:00,세천,0.382306477093207,0.6922222222222222,0.0281329923273657,0.0,0.802
17551,2,01-02 07:00,세천,0.3854660347551343,0.7594444444444444,0.0281329923273657,0.0,0.775
17552,2,01-02 08:00,세천,0.3870458135860979,0.8330555555555555,0.0409207161125319,0.0,0.719
17553,2,01-02 09:00,세천,0.3933649289099526,0.9022222222222224,0.0434782608695652,0.0,0.663
17554,2,01-02 10:00,세천,0.4028436018957346,0.9175,0.0767263427109974,0.0,0.5750000000000001
17555,2,01-02 11:00,세천,0.4202211690363349,0.7672222222222222,0.0485933503836317,0.0,0.532
17556,2,01-02 12:00,세천,0.4139020537124803,0.9280555555555556,0.0639386189258312,0.0,0.509
17557,2,01-02 13:00,세천,0.4312796208530806,0.8830555555555555,0.0460358056265984,0.0,0.445
17558,2,01-02 14:00,세천,0.4233807266982622,0.9158333333333334,0.0511508951406649,0.0,0.438
17559,2,01-02 15:00,세천,0.4091627172195893,0.9419444444444446,0.0383631713554987,0.0,0.465
17560,2,01-02 16:00,세천,0.3791469194312796,0.9941666666666666,0.0434782608695652,0.0,0.487
17561,2,01-02 17:00,세천,0.339652448657188,0.0,0.0076726342710997,0.0,0.553
17562,2,01-02 18:00,세천,0.3191153238546603,0.0,0.0051150895140664,0.0,0.5850000000000001
17563,2,01-02 19:00,세천,0.3048973143759874,0.0,0.0076726342710997,0.0,0.627
17564,2,01-02 20:00,세천,0.292259083728278,0.0,0.0025575447570332,0.0,0.65
17565,2,01-02 21:00,세천,0.2843601895734597,0.0,0.0051150895140664,0.0,0.698
17566,2,01-02 22:00,세천,0.30173775671406,0.0,0.0025575447570332,0.0,0.6809999999999999
17567,2,01-02 23:00,세천,0.3048973143759874,0.0,0.0025575447570332,0.0,0.6839999999999999
17568,2,01-03 00:00,세천,0.3143759873617693,0.0,0.0025575447570332,0.0,0.6659999999999999
17569,2,01-03 01:00,세천,0.3175355450236967,0.0,0.0,0.0,0.694
17570,2,01-03 02:00,세천,0.3222748815165877,0.0,0.0,0.0,0.706
17571,2,01-03 03:00,세천,0.320695102685624,0.0,0.0025575447570332,0.0,0.711
17572,2,01-03 04:00,세천,0.3143759873617693,0.0,0.0051150895140664,0.0,0.7220000000000001
17573,2,01-03 05:00,세천,0.30173775671406,0.0,0.0051150895140664,0.0,0.736
17574,2,01-03 06:00,세천,0.292259083728278,0.0,0.0,0.0,0.758
17575,2,01-03 07:00,세천,0.3191153238546603,0.3672222222222222,0.0153452685421994,0.0,0.731
17576,2,01-03 08:00,세천,0.3886255924170616,0.0,0.0076726342710997,0.0,0.622
17577,2,01-03 09:00,세천,0.4044233807266983,0.8661111111111112,0.0306905370843989,0.0,0.537
17578,2,01-03 10:00,세천,0.4218009478672986,0.9686111111111112,0.0434782608695652,0.0,0.477
17579,2,01-03 11:00,세천,0.4344391785150079,0.9302777777777778,0.0460358056265984,0.0,0.459
17580,2,01-03 12:00,세천,0.4328593996840443,0.955,0.0485933503836317,0.0,0.454
17581,2,01-03 13:00,세천,0.4328593996840443,0.9525,0.0562659846547314,0.0,0.442
17582,2,01-03 14:00,세천,0.4281200631911532,0.945277777777778,0.0485933503836317,0.0,0.444
17583,2,01-03 15:00,세천,0.4154818325434439,0.975,0.0409207161125319,0.0,0.465
17584,2,01-03 16:00,세천,0.363349131121643,0.0,0.0102301790281329,0.0,0.529
17585,2,01-03 17:00,세천,0.3364928909952607,0.0,0.0051150895140664,0.0,0.591
17586,2,01-03 18:00,세천,0.3238546603475514,0.0,0.0076726342710997,0.0,0.624
17587,2,01-03 19:00,세천,0.3238546603475514,0.0,0.0076726342710997,0.0,0.653
17588,2,01-03 20:00,세천,0.3127962085308057,0.6069444444444445,0.0127877237851662,0.0,0.693
17589,2,01-03 21:00,세천,0.3080568720379147,0.0,0.0102301790281329,0.0,0.694
17590,2,01-03 22:00,세천,0.2954186413902054,0.0,0.0025575447570332,0.0,0.713
17591,2,01-03 23:00,세천,0.292259083728278,0.0,0.0102301790281329,0.0,0.741
17592,2,01-04 00:00,세천,0.306477093206951,0.0,0.0025575447570332,0.0,0.738
17593,2,01-04 01:00,세천,0.2843601895734597,0.0,0.0,0.0,0.76
17594,2,01-04 02:00,세천,0.2748815165876777,0.0,0.0025575447570332,0.0,0.773
17595,2,01-04 03:00,세천,0.2875197472353871,0.2708333333333333,0.0127877237851662,0.0,0.78
17596,2,01-04 04:00,세천,0.2843601895734597,0.0,0.0076726342710997,0.0,0.7989999999999999
17597,2,01-04 05:00,세천,0.3033175355450237,0.0,0.0025575447570332,0.0,0.803
17598,2,01-04 06:00,세천,0.2796208530805687,0.0,0.0,0.0,0.823
17599,2,01-04 07:00,세천,0.292259083728278,0.0,0.0025575447570332,0.0,0.7989999999999999
17600,2,01-04 08:00,세천,0.368088467614534,0.0,0.0102301790281329,0.0,0.656
17601,2,01-04 09:00,세천,0.382306477093207,0.3422222222222222,0.0230179028132992,0.0,0.572
17602,2,01-04 10:00,세천,0.3996840442338073,0.0136111111111111,0.0613810741687979,0.0,0.488
17603,2,01-04 11:00,세천,0.4186413902053713,0.8394444444444444,0.0562659846547314,0.0,0.469
17604,2,01-04 12:00,세천,0.4170616113744076,0.9875,0.0588235294117647,0.0,0.4519999999999999
17605,2,01-04 13:00,세천,0.4360189573459716,0.7608333333333333,0.0281329923273657,0.0,0.432
17606,2,01-04 14:00,세천,0.4186413902053713,0.0155555555555555,0.0690537084398977,0.0,0.428
17607,2,01-04 15:00,세천,0.4044233807266983,0.9888888888888888,0.0613810741687979,0.0,0.4559999999999999
17608,2,01-04 16:00,세천,0.3649289099526067,0.8663888888888889,0.0127877237851662,0.0,0.5409999999999999
17609,2,01-04 17:00,세천,0.3191153238546603,0.3391666666666666,0.0127877237851662,0.0,0.598
17610,2,01-04 18:00,세천,0.315955766192733,0.0,0.0051150895140664,0.0,0.641
17611,2,01-04 19:00,세천,0.3048973143759874,0.0,0.0051150895140664,0.0,0.6709999999999999
17612,2,01-04 20:00,세천,0.306477093206951,0.0,0.0076726342710997,0.0,0.711
17613,2,01-04 21:00,세천,0.2985781990521327,0.0,0.0076726342710997,0.0,0.729
17614,2,01-04 22:00,세천,0.2906793048973144,0.0,0.0025575447570332,0.0,0.755
17615,2,01-04 23:00,세천,0.2843601895734597,0.0,0.0051150895140664,0.0,0.776
17616,2,01-05 00:00,세천,0.2859399684044234,0.0,0.0051150895140664,0.0,0.795
17617,2,01-05 01:00,세천,0.2812006319115324,0.0,0.0051150895140664,0.0,0.814
17618,2,01-05 02:00,세천,0.2954186413902054,0.5419444444444445,0.0153452685421994,0.0,0.8180000000000001
17619,2,01-05 03:00,세천,0.2938388625592417,0.0,0.0102301790281329,0.0,0.8220000000000001
17620,2,01-05 04:00,세천,0.282780410742496,0.0,0.0025575447570332,0.0,0.8350000000000001
17621,2,01-05 05:00,세천,0.2843601895734597,0.0,0.0,0.0,0.839
17622,2,01-05 06:00,세천,0.2875197472353871,0.0,0.0,0.0,0.839
17623,2,01-05 07:00,세천,0.3001579778830964,0.0,0.0,0.0,0.823
17624,2,01-05 08:00,세천,0.3665086887835703,0.0,0.0,0.0,0.6859999999999999
17625,2,01-05 09:00,세천,0.3854660347551343,0.9272222222222224,0.0306905370843989,0.0,0.52
17626,2,01-05 10:00,세천,0.401263823064771,0.0583333333333333,0.0281329923273657,0.0,0.429
17627,2,01-05 11:00,세천,0.4360189573459716,0.8386111111111111,0.0204603580562659,0.0,0.374
17628,2,01-05 12:00,세천,0.4454976303317536,0.1197222222222222,0.0281329923273657,0.0,0.349
17629,2,01-05 13:00,세천,0.4533965244865719,0.9411111111111112,0.0332480818414322,0.0,0.314
17630,2,01-05 14:00,세천,0.4454976303317536,0.9730555555555556,0.0511508951406649,0.0,0.307
17631,2,01-05 15:00,세천,0.4360189573459716,0.8675,0.0153452685421994,0.0,0.3319999999999999
17632,2,01-05 16:00,세천,0.3522906793048973,0.4102777777777777,0.0179028132992327,0.0,0.44
17633,2,01-05 17:00,세천,0.325434439178515,0.0,0.0,0.0,0.49
17634,2,01-05 18:00,세천,0.3191153238546603,0.0,0.0076726342710997,0.0,0.5750000000000001
17635,2,01-05 19:00,세천,0.3127962085308057,0.0,0.0025575447570332,0.0,0.598
17636,2,01-05 20:00,세천,0.3096366508688783,0.0,0.0,0.0,0.638
17637,2,01-05 21:00,세천,0.3127962085308057,0.0,0.0,0.0,0.665
17638,2,01-05 22:00,세천,0.320695102685624,0.0,0.0051150895140664,0.0,0.687
17639,2,01-05 23:00,세천,0.3127962085308057,0.0,0.0076726342710997,0.0,0.706
17640,2,01-06 00:00,세천,0.311216429699842,0.0,0.0051150895140664,0.0,0.721
17641,2,01-06 01:00,세천,0.311216429699842,0.0,0.0,0.0,0.7320000000000001
17642,2,01-06 02:00,세천,0.3143759873617693,0.0,0.0,0.0,0.7370000000000001
17643,2,01-06 03:00,세천,0.3127962085308057,0.0,0.0,0.0,0.756
17644,2,01-06 04:00,세천,0.3080568720379147,0.0,0.0,0.0,0.771
17645,2,01-06 05:00,세천,0.3033175355450237,0.0,0.0,0.0,0.7739999999999999
17646,2,01-06 06:00,세천,0.3001579778830964,0.0,0.0025575447570332,0.0,0.795
17647,2,01-06 07:00,세천,0.3285939968404424,0.0,0.0,0.0,0.776
17648,2,01-06 08:00,세천,0.372827804107425,0.0,0.0,0.0,0.682
17649,2,01-06 09:00,세천,0.3838862559241706,0.0158333333333333,0.0153452685421994,0.0,0.567
17650,2,01-06 10:00,세천,0.3996840442338073,0.6075,0.0179028132992327,0.0,0.486
17651,2,01-06 11:00,세천,0.4186413902053713,0.0986111111111111,0.0230179028132992,0.0,0.414
17652,2,01-06 12:00,세천,0.4312796208530806,0.9875,0.0434782608695652,0.0,0.372
17653,2,01-06 13:00,세천,0.4391785150078989,0.9919444444444444,0.0434782608695652,0.0,0.32
17654,2,01-06 14:00,세천,0.4518167456556082,0.9211111111111112,0.0358056265984654,0.0,0.313
17655,2,01-06 15:00,세천,0.4344391785150079,0.9541666666666668,0.0332480818414322,0.0,0.328
17656,2,01-06 16:00,세천,0.3601895734597157,0.5963888888888889,0.0153452685421994,0.0,0.4569999999999999
17657,2,01-06 17:00,세천,0.334913112164297,0.0,0.0,0.0,0.517
17658,2,01-06 18:00,세천,0.3238546603475514,0.0,0.0,0.0,0.5700000000000001
17659,2,01-06 19:00,세천,0.3191153238546603,0.0,0.0,0.0,0.602
17660,2,01-06 20:00,세천,0.3080568720379147,0.0,0.0,0.0,0.643
17661,2,01-06 21:00,세천,0.30173775671406,0.0,0.0025575447570332,0.0,0.675
17662,2,01-06 22:00,세천,0.3001579778830964,0.0,0.0,0.0,0.698
17663,2,01-06 23:00,세천,0.2938388625592417,0.0,0.0,0.0,0.736
17664,2,01-07 00:00,세천,0.3001579778830964,0.0,0.0,0.0,0.751
17665,2,01-07 01:00,세천,0.2843601895734597,0.0,0.0,0.0,0.7739999999999999
17666,2,01-07 02:00,세천,0.2748815165876777,0.0,0.0,0.0,0.771
17667,2,01-07 03:00,세천,0.2796208530805687,0.0,0.0025575447570332,0.0,0.79
17668,2,01-07 04:00,세천,0.278041074249605,0.0,0.0025575447570332,0.0,0.7989999999999999
17669,2,01-07 05:00,세천,0.2748815165876777,0.0,0.0025575447570332,0.0,0.803
17670,2,01-07 06:00,세천,0.2701421800947867,0.0,0.0025575447570332,0.0,0.816
17671,2,01-07 07:00,세천,0.2843601895734597,0.0,0.0,0.0,0.807
17672,2,01-07 08:00,세천,0.3759873617693523,0.0,0.0,0.0,0.675
17673,2,01-07 09:00,세천,0.4265402843601896,0.1833333333333333,0.0179028132992327,0.0,0.537
17674,2,01-07 10:00,세천,0.4533965244865719,0.8044444444444445,0.0255754475703324,0.0,0.428
17675,2,01-07 11:00,세천,0.4533965244865719,0.0216666666666666,0.0511508951406649,0.0,0.335
17676,2,01-07 12:00,세천,0.4691943127962086,0.9941666666666666,0.0511508951406649,0.0,0.306
17677,2,01-07 13:00,세천,0.4802527646129542,0.945,0.0383631713554987,0.0,0.29
17678,2,01-07 14:00,세천,0.4849921011058452,0.9505555555555556,0.0383631713554987,0.0,0.269
17679,2,01-07 15:00,세천,0.4660347551342812,0.9119444444444446,0.0153452685421994,0.0,0.301
17680,2,01-07 16:00,세천,0.3649289099526067,0.0,0.0,0.0,0.4409999999999999
17681,2,01-07 17:00,세천,0.3428120063191153,0.0,0.0051150895140664,0.0,0.523
17682,2,01-07 18:00,세천,0.3270142180094787,0.0,0.0051150895140664,0.0,0.567
17683,2,01-07 19:00,세천,0.3175355450236967,0.0,0.0,0.0,0.627
17684,2,01-07 20:00,세천,0.3096366508688783,0.0,0.0,0.0,0.6689999999999999
17685,2,01-07 21:00,세천,0.3048973143759874,0.0,0.0051150895140664,0.0,0.698
17686,2,01-07 22:00,세천,0.296998420221169,0.0,0.0051150895140664,0.0,0.718
17687,2,01-07 23:00,세천,0.296998420221169,0.0,0.0,0.0,0.741
17688,2,01-08 00:00,세천,0.2938388625592417,0.0,0.0,0.0,0.767
17689,2,01-08 01:00,세천,0.2954186413902054,0.0,0.0,0.0,0.778
17690,2,01-08 02:00,세천,0.325434439178515,0.0,0.0025575447570332,0.0,0.775
17691,2,01-08 03:00,세천,0.3317535545023697,0.0,0.0,0.0,0.785
17692,2,01-08 04:00,세천,0.3380726698262243,0.0,0.0,0.0,0.7789999999999999
17693,2,01-08 05:00,세천,0.3428120063191153,0.0,0.0,0.0,0.75
17694,2,01-08 06:00,세천,0.3507109004739336,0.0,0.0025575447570332,0.0,0.7909999999999999
17695,2,01-08 07:00,세천,0.363349131121643,0.0,0.0051150895140664,0.0,0.76
17696,2,01-08 08:00,세천,0.3838862559241706,0.0,0.0076726342710997,0.0,0.6970000000000001
17697,2,01-08 09:00,세천,0.4391785150078989,0.711388888888889,0.0204603580562659,0.0,0.621
17698,2,01-08 10:00,세천,0.4723538704581359,0.6702777777777779,0.0434782608695652,0.0,0.534
17699,2,01-08 11:00,세천,0.4928909952606635,0.6738888888888889,0.0537084398976982,0.0,0.47
17700,2,01-08 12:00,세천,0.4944707740916272,0.6583333333333333,0.0613810741687979,0.0,0.453
17701,2,01-08 13:00,세천,0.5039494470774092,0.7333333333333334,0.0460358056265984,0.0,0.379
17702,2,01-08 14:00,세천,0.4802527646129542,0.9411111111111112,0.0792838874680307,0.0,0.351
17703,2,01-08 15:00,세천,0.4723538704581359,0.9397222222222222,0.0716112531969309,0.0,0.3919999999999999
17704,2,01-08 16:00,세천,0.4486571879936809,0.8991666666666667,0.0281329923273657,0.0,0.434
17705,2,01-08 17:00,세천,0.39652448657188,0.9036111111111113,0.0153452685421994,0.0,0.53
17706,2,01-08 18:00,세천,0.3838862559241706,0.5238888888888888,0.0127877237851662,0.0,0.618
17707,2,01-08 19:00,세천,0.3933649289099526,0.0,0.0025575447570332,0.0,0.65
17708,2,01-08 20:00,세천,0.4344391785150079,0.8386111111111111,0.0460358056265984,0.0,0.6759999999999999
17709,2,01-08 21:00,세천,0.401263823064771,0.07,0.0127877237851662,0.0,0.713
17710,2,01-08 22:00,세천,0.4044233807266983,0.8097222222222222,0.0179028132992327,0.0,0.7150000000000001
17711,2,01-08 23:00,세천,0.4218009478672986,0.9416666666666668,0.0255754475703324,0.0,0.7120000000000001
17712,2,01-09 00:00,세천,0.4028436018957346,0.0,0.0051150895140664,0.0,0.723
17713,2,01-09 01:00,세천,0.3902053712480253,0.0,0.0051150895140664,0.0,0.721
17714,2,01-09 02:00,세천,0.3933649289099526,0.0,0.0076726342710997,0.0,0.709
17715,2,01-09 03:00,세천,0.372827804107425,0.0,0.0051150895140664,0.0,0.746
17716,2,01-09 04:00,세천,0.3601895734597157,0.0,0.0051150895140664,0.0,0.762
17717,2,01-09 05:00,세천,0.3459715639810427,0.0,0.0051150895140664,0.0,0.763
17718,2,01-09 06:00,세천,0.3507109004739336,0.6330555555555556,0.0179028132992327,0.0,0.783
17719,2,01-09 07:00,세천,0.4028436018957346,0.545,0.0204603580562659,0.0,0.744
17720,2,01-09 08:00,세천,0.4423380726698263,0.6647222222222223,0.0485933503836317,0.0,0.645
17721,2,01-09 09:00,세천,0.4502369668246446,0.8841666666666668,0.0792838874680307,0.0,0.538
17722,2,01-09 10:00,세천,0.4691943127962086,0.9447222222222224,0.0792838874680307,0.0,0.491
17723,2,01-09 11:00,세천,0.4849921011058452,0.9680555555555556,0.0716112531969309,0.0,0.37
17724,2,01-09 12:00,세천,0.4834123222748815,0.8816666666666666,0.0639386189258312,0.0,0.358
17725,2,01-09 13:00,세천,0.4865718799368089,0.9372222222222222,0.0664961636828644,0.0,0.3319999999999999
17726,2,01-09 14:00,세천,0.4755134281200632,0.7627777777777779,0.0613810741687979,0.0,0.37
17727,2,01-09 15:00,세천,0.4676145339652449,0.7980555555555556,0.0639386189258312,0.0,0.433
17728,2,01-09 16:00,세천,0.4486571879936809,0.8716666666666667,0.0485933503836317,0.0,0.5690000000000001
17729,2,01-09 17:00,세천,0.4312796208530806,0.8969444444444444,0.0741687979539642,0.0,0.626
17730,2,01-09 18:00,세천,0.4202211690363349,0.8472222222222222,0.0434782608695652,0.0,0.656
17731,2,01-09 19:00,세천,0.4075829383886256,0.8138888888888889,0.0332480818414322,0.0,0.609
17732,2,01-09 20:00,세천,0.3917851500789889,0.8347222222222223,0.0460358056265984,0.0,0.621
17733,2,01-09 21:00,세천,0.377567140600316,0.8747222222222222,0.0230179028132992,0.0,0.615
17734,2,01-09 22:00,세천,0.3617693522906793,0.8350000000000001,0.0409207161125319,0.0,0.628
17735,2,01-09 23:00,세천,0.3412322274881517,0.8141666666666668,0.0230179028132992,0.0,0.599
17736,2,01-10 00:00,세천,0.3222748815165877,0.8819444444444445,0.0179028132992327,0.0,0.576
17737,2,01-10 01:00,세천,0.296998420221169,0.4313888888888889,0.0153452685421994,0.0,0.605
17738,2,01-10 02:00,세천,0.282780410742496,0.0,0.0051150895140664,0.0,0.633
17739,2,01-10 03:00,세천,0.2717219589257504,0.5661111111111111,0.0127877237851662,0.0,0.648
