,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
8760,1,01-01 00:00,안도,0.4391785150078989,0.0013888888888888,0.0332480818414322,0.0,0.7070000000000001
8761,1,01-01 01:00,안도,0.4375987361769353,0.9183333333333334,0.0306905370843989,0.0,0.7370000000000001
8762,1,01-01 02:00,안도,0.4344391785150079,0.895,0.0179028132992327,0.0,0.744
8763,1,01-01 03:00,안도,0.4344391785150079,0.9013888888888888,0.0179028132992327,0.0,0.694
8764,1,01-01 04:00,안도,0.4344391785150079,0.9072222222222224,0.0255754475703324,0.0,0.713
8765,1,01-01 05:00,안도,0.4360189573459716,0.9122222222222222,0.0664961636828644,0.0,0.713
8766,1,01-01 06:00,안도,0.4360189573459716,0.9213888888888888,0.0434782608695652,0.0,0.699
8767,1,01-01 07:00,안도,0.4454976303317536,0.9327777777777778,0.0332480818414322,0.0,0.6659999999999999
8768,1,01-01 08:00,안도,0.4470774091627172,0.9997222222222222,0.0537084398976982,0.0,0.636
8769,1,01-01 09:00,안도,0.4518167456556082,0.9780555555555556,0.0562659846547314,0.0,0.645
8770,1,01-01 10:00,안도,0.4502369668246446,0.9663888888888889,0.0537084398976982,0.0,0.6289999999999999
8771,1,01-01 11:00,안도,0.4644549763033175,0.9347222222222222,0.0255754475703324,0.0,0.597
8772,1,01-01 12:00,안도,0.4486571879936809,0.9541666666666668,0.0716112531969309,0.0,0.605
8773,1,01-01 13:00,안도,0.4628751974723539,0.0,0.0051150895140664,0.0,0.597
8774,1,01-01 14:00,안도,0.4518167456556082,0.0,0.0102301790281329,0.0,0.67
8775,1,01-01 15:00,안도,0.4502369668246446,0.8216666666666668,0.0332480818414322,0.0,0.691
8776,1,01-01 16:00,안도,0.4486571879936809,0.0,0.0051150895140664,0.0,0.721
8777,1,01-01 17:00,안도,0.4486571879936809,0.8336111111111112,0.0179028132992327,0.0,0.744
8778,1,01-01 18:00,안도,0.4454976303317536,0.8441666666666666,0.0179028132992327,0.0,0.726
8779,1,01-01 19:00,안도,0.4407582938388626,0.8250000000000001,0.0204603580562659,0.0,0.6920000000000001
8780,1,01-01 20:00,안도,0.4391785150078989,0.8502777777777779,0.0358056265984654,0.0,0.643
8781,1,01-01 21:00,안도,0.4344391785150079,0.8827777777777779,0.0562659846547314,0.0,0.677
8782,1,01-01 22:00,안도,0.4312796208530806,0.8661111111111112,0.0332480818414322,0.0,0.689
8783,1,01-01 23:00,안도,0.4296998420221169,0.8577777777777779,0.0716112531969309,0.0,0.6900000000000001
8784,1,01-02 00:00,안도,0.4344391785150079,0.9144444444444444,0.1150895140664961,0.0,0.721
8785,1,01-02 01:00,안도,0.4328593996840443,0.9233333333333332,0.1125319693094629,0.0,0.735
8786,1,01-02 02:00,안도,0.4265402843601896,0.9361111111111112,0.1227621483375959,0.0,0.756
8787,1,01-02 03:00,안도,0.4218009478672986,0.9755555555555556,0.1227621483375959,0.0,0.7050000000000001
8788,1,01-02 04:00,안도,0.4170616113744076,0.9641666666666668,0.0869565217391304,0.0,0.689
8789,1,01-02 05:00,안도,0.4107424960505529,0.9080555555555556,0.0537084398976982,0.0,0.662
8790,1,01-02 06:00,안도,0.4154818325434439,0.9625,0.0818414322250639,0.0,0.5950000000000001
8791,1,01-02 07:00,안도,0.4249605055292259,0.955,0.0690537084398977,0.0,0.5609999999999999
8792,1,01-02 08:00,안도,0.4296998420221169,0.9994444444444444,0.0511508951406649,0.0,0.554
8793,1,01-02 09:00,안도,0.4312796208530806,0.0002777777777777,0.0639386189258312,0.0,0.5569999999999999
8794,1,01-02 10:00,안도,0.4344391785150079,0.0125,0.0639386189258312,0.0,0.522
8795,1,01-02 11:00,안도,0.4454976303317536,0.9444444444444444,0.0588235294117647,0.0,0.506
8796,1,01-02 12:00,안도,0.4502369668246446,0.9386111111111112,0.0485933503836317,0.0,0.515
8797,1,01-02 13:00,안도,0.4597156398104265,0.9055555555555556,0.0383631713554987,0.0,0.638
8798,1,01-02 14:00,안도,0.4502369668246446,0.9583333333333334,0.0434782608695652,0.0,0.685
8799,1,01-02 15:00,안도,0.4549763033175356,0.0,0.0025575447570332,0.0,0.68
8800,1,01-02 16:00,안도,0.4454976303317536,0.8155555555555557,0.0358056265984654,0.0,0.7200000000000001
8801,1,01-02 17:00,안도,0.4423380726698263,0.7872222222222222,0.0562659846547314,0.0,0.768
8802,1,01-02 18:00,안도,0.4486571879936809,0.0,0.0076726342710997,0.0,0.78
8803,1,01-02 19:00,안도,0.4439178515007899,0.8155555555555557,0.0306905370843989,0.0,0.758
8804,1,01-02 20:00,안도,0.4423380726698263,0.8466666666666667,0.0127877237851662,0.0,0.749
8805,1,01-02 21:00,안도,0.4423380726698263,0.0,0.0076726342710997,0.0,0.755
8806,1,01-02 22:00,안도,0.4407582938388626,0.8213888888888888,0.0179028132992327,0.0,0.758
8807,1,01-02 23:00,안도,0.4360189573459716,0.8600000000000001,0.0358056265984654,0.0,0.767
