,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
8760,1,01-01 00:00,양화,0.4028436018957346,0.4119444444444445,0.0383631713554987,0.0,0.7939999999999999
8761,1,01-01 01:00,양화,0.4075829383886256,0.7163888888888889,0.0230179028132992,0.0,0.8009999999999999
8762,1,01-01 02:00,양화,0.39652448657188,0.0,0.0,0.0,0.96
8763,1,01-01 03:00,양화,0.3933649289099526,0.0,0.0,0.0056818181818181,0.977
8764,1,01-01 04:00,양화,0.3933649289099526,0.0,0.0025575447570332,0.0,0.977
8765,1,01-01 05:00,양화,0.3933649289099526,0.2444444444444444,0.0153452685421994,0.0,0.977
8766,1,01-01 06:00,양화,0.3902053712480253,0.0,0.0025575447570332,0.0,0.977
8767,1,01-01 07:00,양화,0.3996840442338073,0.0,0.0102301790281329,0.0,0.977
8768,1,01-01 08:00,양화,0.4249605055292259,0.0,0.0076726342710997,0.0,0.886
8769,1,01-01 09:00,양화,0.4518167456556082,0.2236111111111111,0.0255754475703324,0.0,0.758
8770,1,01-01 10:00,양화,0.4707740916271722,0.1658333333333333,0.0281329923273657,0.0,0.7070000000000001
8771,1,01-01 11:00,양화,0.4992101105845182,0.4244444444444445,0.0409207161125319,0.0,0.592
8772,1,01-01 12:00,양화,0.5118483412322276,0.4572222222222222,0.0460358056265984,0.0,0.533
8773,1,01-01 13:00,양화,0.5071090047393365,0.6033333333333333,0.0690537084398977,0.0,0.631
8774,1,01-01 14:00,양화,0.4818325434439179,0.6408333333333334,0.0588235294117647,0.0,0.608
8775,1,01-01 15:00,양화,0.4612954186413902,0.5008333333333334,0.0179028132992327,0.0,0.638
8776,1,01-01 16:00,양화,0.4265402843601896,0.0,0.0,0.0,0.767
8777,1,01-01 17:00,양화,0.4154818325434439,0.0,0.0025575447570332,0.0,0.812
8778,1,01-01 18:00,양화,0.4312796208530806,0.9683333333333334,0.0179028132992327,0.0,0.773
8779,1,01-01 19:00,양화,0.4218009478672986,0.0,0.0102301790281329,0.0,0.777
8780,1,01-01 20:00,양화,0.39652448657188,0.0,0.0025575447570332,0.0,0.843
8781,1,01-01 21:00,양화,0.3996840442338073,0.0,0.0102301790281329,0.0,0.821
8782,1,01-01 22:00,양화,0.39652448657188,0.0,0.0025575447570332,0.0,0.8180000000000001
8783,1,01-01 23:00,양화,0.3886255924170616,0.0,0.0102301790281329,0.0,0.838
8784,1,01-02 00:00,양화,0.3807266982622433,0.0,0.0102301790281329,0.0,0.8270000000000001
8785,1,01-02 01:00,양화,0.3570300157977883,0.0,0.0051150895140664,0.0,0.851
8786,1,01-02 02:00,양화,0.334913112164297,0.0,0.0,0.0,0.925
8787,1,01-02 03:00,양화,0.3175355450236967,0.0,0.0,0.0,0.943
8788,1,01-02 04:00,양화,0.3001579778830964,0.0,0.0025575447570332,0.0,0.956
8789,1,01-02 05:00,양화,0.2938388625592417,0.0,0.0025575447570332,0.0,0.963
8790,1,01-02 06:00,양화,0.296998420221169,0.0,0.0,0.0,0.97
8791,1,01-02 07:00,양화,0.3285939968404424,0.0,0.0,0.0,0.921
8792,1,01-02 08:00,양화,0.3902053712480253,0.0,0.0025575447570332,0.0,0.821
8793,1,01-02 09:00,양화,0.4391785150078989,0.0,0.0102301790281329,0.0,0.614
8794,1,01-02 10:00,양화,0.4707740916271722,0.4258333333333334,0.0281329923273657,0.0,0.496
8795,1,01-02 11:00,양화,0.4944707740916272,0.4394444444444444,0.0460358056265984,0.0,0.474
8796,1,01-02 12:00,양화,0.4960505529225908,0.4363888888888889,0.0716112531969309,0.0,0.425
8797,1,01-02 13:00,양화,0.5039494470774092,0.4252777777777777,0.0690537084398977,0.0,0.393
8798,1,01-02 14:00,양화,0.4881516587677725,0.57,0.0613810741687979,0.0,0.425
8799,1,01-02 15:00,양화,0.4581358609794629,0.6391666666666667,0.0383631713554987,0.0,0.514
8800,1,01-02 16:00,양화,0.3838862559241706,0.0,0.0076726342710997,0.0,0.7020000000000001
8801,1,01-02 17:00,양화,0.3601895734597157,0.0,0.0025575447570332,0.0,0.773
8802,1,01-02 18:00,양화,0.3364928909952607,0.0,0.0,0.0,0.826
8803,1,01-02 19:00,양화,0.3270142180094787,0.0,0.0,0.0,0.875
8804,1,01-02 20:00,양화,0.3127962085308057,0.0,0.0076726342710997,0.0,0.868
8805,1,01-02 21:00,양화,0.3048973143759874,0.0,0.0025575447570332,0.0,0.888
