,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
17520,2,01-01 00:00,옹도,0.4028436018957346,0.9808333333333334,0.1841432225063938,0.0,0.7000000000000001
17521,2,01-01 01:00,옹도,0.4028436018957346,0.0266666666666666,0.1483375959079284,0.0,0.703
17522,2,01-01 02:00,옹도,0.406003159557662,0.9155555555555556,0.1355498721227621,0.0,0.7000000000000001
17523,2,01-01 03:00,옹도,0.4091627172195893,0.0230555555555555,0.1687979539641943,0.0,0.689
17524,2,01-01 04:00,옹도,0.4139020537124803,0.0238888888888888,0.1739130434782608,0.0,0.615
17525,2,01-01 05:00,옹도,0.4123222748815166,0.9808333333333334,0.1841432225063938,0.0,0.586
17526,2,01-01 06:00,옹도,0.4139020537124803,0.0755555555555555,0.207161125319693,0.0,0.628
17527,2,01-01 07:00,옹도,0.4154818325434439,0.9130555555555556,0.1969309462915601,0.0,0.602
17528,2,01-01 08:00,옹도,0.4202211690363349,0.7727777777777778,0.1585677749360614,0.0,0.619
17529,2,01-01 09:00,옹도,0.4170616113744076,0.9816666666666668,0.217391304347826,0.0,0.6389999999999999
17530,2,01-01 10:00,옹도,0.4202211690363349,0.7227777777777777,0.1560102301790281,0.0,0.617
17531,2,01-01 11:00,옹도,0.4186413902053713,0.0105555555555555,0.2097186700767263,0.0,0.6
17532,2,01-01 12:00,옹도,0.4202211690363349,0.9891666666666667,0.237851662404092,0.0,0.67
17533,2,01-01 13:00,옹도,0.4218009478672986,0.7552777777777777,0.1636828644501279,0.0,0.631
17534,2,01-01 14:00,옹도,0.4218009478672986,0.638888888888889,0.1150895140664961,0.0,0.593
17535,2,01-01 15:00,옹도,0.4202211690363349,0.6708333333333334,0.1457800511508951,0.0,0.643
17536,2,01-01 16:00,옹도,0.4202211690363349,0.7061111111111111,0.1560102301790281,0.0,0.621
17537,2,01-01 17:00,옹도,0.4170616113744076,0.5486111111111112,0.0843989769820971,0.0,0.591
17538,2,01-01 18:00,옹도,0.4170616113744076,0.6794444444444444,0.1355498721227621,0.0,0.621
17539,2,01-01 19:00,옹도,0.4154818325434439,0.8122222222222222,0.2046035805626598,0.0,0.609
17540,2,01-01 20:00,옹도,0.4202211690363349,0.6727777777777778,0.1253196930946291,0.0,0.61
17541,2,01-01 21:00,옹도,0.4170616113744076,0.5627777777777778,0.0741687979539642,0.0,0.5569999999999999
17542,2,01-01 22:00,옹도,0.4154818325434439,0.7286111111111112,0.1304347826086956,0.0,0.5650000000000001
17543,2,01-01 23:00,옹도,0.4170616113744076,0.6872222222222223,0.0920716112531969,0.0,0.5900000000000001
17544,2,01-02 00:00,옹도,0.4170616113744076,0.7922222222222223,0.1329923273657289,0.0,0.5559999999999999
17545,2,01-02 01:00,옹도,0.4154818325434439,0.6416666666666667,0.0792838874680307,0.0,0.5619999999999999
17546,2,01-02 02:00,옹도,0.4154818325434439,0.5977777777777777,0.0895140664961636,0.0,0.615
17547,2,01-02 03:00,옹도,0.4123222748815166,0.7758333333333334,0.1994884910485933,0.0,0.647
17548,2,01-02 04:00,옹도,0.39652448657188,0.9544444444444444,0.2020460358056266,0.0,0.6970000000000001
17549,2,01-02 05:00,옹도,0.3933649289099526,0.0330555555555555,0.2506393861892583,0.0,0.6659999999999999
17550,2,01-02 06:00,옹도,0.39652448657188,0.9691666666666666,0.207161125319693,0.0,0.623
17551,2,01-02 07:00,옹도,0.3933649289099526,0.0402777777777777,0.2225063938618925,0.0,0.608
17552,2,01-02 08:00,옹도,0.3886255924170616,0.8005555555555556,0.1867007672634271,0.0,0.581
17553,2,01-02 09:00,옹도,0.3886255924170616,0.0180555555555555,0.1892583120204603,0.0,0.593
17554,2,01-02 10:00,옹도,0.3838862559241706,0.0191666666666666,0.237851662404092,0.0,0.5630000000000001
17555,2,01-02 11:00,옹도,0.3886255924170616,0.9444444444444444,0.1713554987212276,0.0,0.537
17556,2,01-02 12:00,옹도,0.382306477093207,0.0866666666666666,0.2046035805626598,0.0,0.55
17557,2,01-02 13:00,옹도,0.3854660347551343,0.0741666666666666,0.1841432225063938,0.0,0.547
17558,2,01-02 14:00,옹도,0.3807266982622433,0.0716666666666666,0.1304347826086956,0.0,0.5509999999999999
17559,2,01-02 15:00,옹도,0.3870458135860979,0.9866666666666668,0.0869565217391304,0.0,0.5650000000000001
17560,2,01-02 16:00,옹도,0.3870458135860979,0.0641666666666666,0.1202046035805626,0.0,0.5630000000000001
17561,2,01-02 17:00,옹도,0.3949447077409163,0.0497222222222222,0.0920716112531969,0.0,0.554
17562,2,01-02 18:00,옹도,0.3886255924170616,0.1322222222222222,0.1278772378516624,0.0,0.5690000000000001
17563,2,01-02 19:00,옹도,0.3917851500789889,0.0444444444444444,0.1176470588235294,0.0,0.567
17564,2,01-02 20:00,옹도,0.3902053712480253,0.0808333333333333,0.0971867007672634,0.0,0.5740000000000001
17565,2,01-02 21:00,옹도,0.3933649289099526,0.0836111111111111,0.1023017902813299,0.0,0.586
17566,2,01-02 22:00,옹도,0.39652448657188,0.1125,0.0920716112531969,0.0,0.5790000000000001
17567,2,01-02 23:00,옹도,0.39652448657188,0.1377777777777777,0.0511508951406649,0.0,0.587
17568,2,01-03 00:00,옹도,0.3996840442338073,0.2883333333333333,0.0511508951406649,0.0,0.576
17569,2,01-03 01:00,옹도,0.39652448657188,0.3766666666666666,0.0409207161125319,0.0,0.62
17570,2,01-03 02:00,옹도,0.3917851500789889,0.4591666666666667,0.0843989769820971,0.0,0.651
17571,2,01-03 03:00,옹도,0.3949447077409163,0.4147222222222222,0.1202046035805626,0.0,0.6589999999999999
17572,2,01-03 04:00,옹도,0.3870458135860979,0.4638888888888889,0.1227621483375959,0.0,0.694
17573,2,01-03 05:00,옹도,0.3838862559241706,0.4505555555555555,0.1355498721227621,0.0,0.721
17574,2,01-03 06:00,옹도,0.372827804107425,0.3366666666666666,0.0869565217391304,0.0,0.744
17575,2,01-03 07:00,옹도,0.3617693522906793,0.3305555555555555,0.1048593350383631,0.0,0.859
17576,2,01-03 08:00,옹도,0.372827804107425,0.3591666666666667,0.1125319693094629,0.0,0.8170000000000001
17577,2,01-03 09:00,옹도,0.3791469194312796,0.3338888888888889,0.0971867007672634,0.0,0.751
17578,2,01-03 10:00,옹도,0.3807266982622433,0.3127777777777777,0.1099744245524296,0.0,0.667
17579,2,01-03 11:00,옹도,0.358609794628752,0.2244444444444444,0.0920716112531969,0.0,0.92
17580,2,01-03 12:00,옹도,0.3744075829383886,0.2091666666666666,0.0895140664961636,0.0056818181818181,0.901
17581,2,01-03 13:00,옹도,0.3886255924170616,0.1575,0.1150895140664961,0.0056818181818181,0.765
17582,2,01-03 14:00,옹도,0.39652448657188,0.1347222222222222,0.1355498721227621,0.0,0.657
17583,2,01-03 15:00,옹도,0.3949447077409163,0.1238888888888889,0.1764705882352941,0.0,0.572
17584,2,01-03 16:00,옹도,0.3917851500789889,0.0872222222222222,0.2020460358056266,0.0,0.599
17585,2,01-03 17:00,옹도,0.3902053712480253,0.0711111111111111,0.1764705882352941,0.0,0.618
17586,2,01-03 18:00,옹도,0.3917851500789889,0.0977777777777777,0.1611253196930946,0.0,0.5700000000000001
17587,2,01-03 19:00,옹도,0.3949447077409163,0.0438888888888888,0.1304347826086956,0.0,0.5640000000000001
17588,2,01-03 20:00,옹도,0.401263823064771,0.0916666666666666,0.1329923273657289,0.0,0.5609999999999999
17589,2,01-03 21:00,옹도,0.401263823064771,0.0936111111111111,0.1687979539641943,0.0,0.6289999999999999
17590,2,01-03 22:00,옹도,0.3981042654028436,0.9969444444444444,0.1253196930946291,0.0,0.5950000000000001
17591,2,01-03 23:00,옹도,,,,,
17592,2,01-04 00:00,옹도,,,,,
17593,2,01-04 01:00,옹도,,,,,
