,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
26280,3,01-01 00:00,장동,0.2385466034755134,0.0,0.0025575447570332,0.0,0.7939999999999999
26281,3,01-01 01:00,장동,0.244865718799368,0.0,0.0025575447570332,0.0,0.7739999999999999
26282,3,01-01 02:00,장동,0.2211690363349131,0.0,0.0076726342710997,0.0,0.793
26283,3,01-01 03:00,장동,0.2211690363349131,0.0,0.0051150895140664,0.0,0.8180000000000001
26284,3,01-01 04:00,장동,0.2116903633491311,0.0,0.0,0.0,0.828
26285,3,01-01 05:00,장동,0.2085308056872038,0.0,0.0,0.0,0.848
26286,3,01-01 06:00,장동,0.2148499210110584,0.0,0.0051150895140664,0.0,0.853
26287,3,01-01 07:00,장동,0.2417061611374407,0.0,0.0,0.0,0.8039999999999999
26288,3,01-01 08:00,장동,0.282780410742496,0.6855555555555556,0.0127877237851662,0.0,0.777
26289,3,01-01 09:00,장동,0.30173775671406,0.0455555555555555,0.0127877237851662,0.0,0.637
26290,3,01-01 10:00,장동,0.320695102685624,0.0,0.0051150895140664,0.0,0.582
26291,3,01-01 11:00,장동,0.3270142180094787,0.0,0.0025575447570332,0.0,0.568
26292,3,01-01 12:00,장동,0.3333333333333333,0.9102777777777776,0.0204603580562659,0.0,0.544
26293,3,01-01 13:00,장동,0.3317535545023697,0.2497222222222222,0.0230179028132992,0.0,0.539
26294,3,01-01 14:00,장동,0.339652448657188,0.9194444444444444,0.0153452685421994,0.0,0.5359999999999999
26295,3,01-01 15:00,장동,0.3380726698262243,0.0,0.0051150895140664,0.0,0.554
26296,3,01-01 16:00,장동,,,,,
26297,3,01-01 17:00,장동,,,,,
26298,3,01-01 18:00,장동,,,,,
26299,3,01-01 19:00,장동,,,,,
26300,3,01-01 20:00,장동,,,,,
26301,3,01-01 21:00,장동,,,,,
26302,3,01-01 22:00,장동,,,,,
26303,3,01-01 23:00,장동,0.2764612954186414,0.0,0.0025575447570332,0.0,0.8270000000000001
26304,3,01-02 00:00,장동,0.2480252764612954,0.0,0.0076726342710997,0.0,0.869
26305,3,01-02 01:00,장동,0.2654028436018957,0.0,0.0051150895140664,0.0,0.848
26306,3,01-02 02:00,장동,0.2748815165876777,0.0,0.0025575447570332,0.0,0.8300000000000001
26307,3,01-02 03:00,장동,0.2812006319115324,0.0,0.0,0.0,0.8180000000000001
26308,3,01-02 04:00,장동,0.2875197472353871,0.0,0.0,0.0,0.819
26309,3,01-02 05:00,장동,0.2954186413902054,0.0,0.0,0.0,0.849
26310,3,01-02 06:00,장동,0.2985781990521327,0.5225,0.0179028132992327,0.0,0.8500000000000001
26311,3,01-02 07:00,장동,0.311216429699842,0.6372222222222222,0.0204603580562659,0.0,0.833
26312,3,01-02 08:00,장동,0.330173775671406,0.6652777777777779,0.0332480818414322,0.0,0.7370000000000001
26313,3,01-02 09:00,장동,0.3665086887835703,0.9416666666666668,0.0153452685421994,0.0,0.6609999999999999
26314,3,01-02 10:00,장동,0.3870458135860979,0.5016666666666667,0.0460358056265984,0.0,0.608
26315,3,01-02 11:00,장동,0.4075829383886256,0.4822222222222222,0.0588235294117647,0.0,0.517
26316,3,01-02 12:00,장동,,,,,
26317,3,01-02 13:00,장동,,,,,
26318,3,01-02 14:00,장동,,,,,
26319,3,01-02 15:00,장동,,,,,
26320,3,01-02 16:00,장동,,,,,
26321,3,01-02 17:00,장동,,,,,
26322,3,01-02 18:00,장동,,,,,
26323,3,01-02 19:00,장동,,,,,
26324,3,01-02 20:00,장동,,,,,
26325,3,01-02 21:00,장동,,,,,
26326,3,01-02 22:00,장동,,,,,
26327,3,01-02 23:00,장동,0.3333333333333333,0.0,0.0,0.0,0.929
26328,3,01-03 00:00,장동,0.315955766192733,0.0,0.0,0.0,0.928
26329,3,01-03 01:00,장동,0.3080568720379147,0.0,0.0025575447570332,0.0,0.922
26330,3,01-03 02:00,장동,0.3238546603475514,0.0,0.0,0.0,0.925
26331,3,01-03 03:00,장동,0.3143759873617693,0.0,0.0025575447570332,0.0,0.923
26332,3,01-03 04:00,장동,0.3033175355450237,0.0,0.0,0.0,0.92
26333,3,01-03 05:00,장동,0.3048973143759874,0.0,0.0025575447570332,0.0,0.916
26334,3,01-03 06:00,장동,0.30173775671406,0.0,0.0,0.0,0.915
26335,3,01-03 07:00,장동,0.3270142180094787,0.0,0.0,0.0,0.923
26336,3,01-03 08:00,장동,0.3807266982622433,0.0,0.0,0.0,0.898
26337,3,01-03 09:00,장동,0.4470774091627172,0.0,0.0102301790281329,0.0,0.641
26338,3,01-03 10:00,장동,0.4865718799368089,0.6466666666666667,0.0511508951406649,0.0,0.501
26339,3,01-03 11:00,장동,0.5165876777251186,0.591388888888889,0.0792838874680307,0.0,0.455
26340,3,01-03 12:00,장동,0.5292259083728279,0.5755555555555556,0.0690537084398977,0.0,0.4669999999999999
26341,3,01-03 13:00,장동,0.5339652448657188,0.5644444444444444,0.0511508951406649,0.0,0.471
26342,3,01-03 14:00,장동,0.5260663507109005,0.543611111111111,0.0639386189258312,0.0,0.497
26343,3,01-03 15:00,장동,0.5181674565560822,0.5952777777777778,0.0409207161125319,0.0,0.56
26344,3,01-03 16:00,장동,0.5134281200631912,0.4613888888888889,0.0409207161125319,0.0,0.6
26345,3,01-03 17:00,장동,0.5055292259083729,0.4841666666666667,0.0434782608695652,0.0,0.6539999999999999
26346,3,01-03 18:00,장동,0.4597156398104265,0.0,0.0102301790281329,0.0,0.771
26347,3,01-03 19:00,장동,0.4407582938388626,0.0,0.0076726342710997,0.0,0.831
26348,3,01-03 20:00,장동,0.4375987361769353,0.0,0.0102301790281329,0.0,0.8670000000000001
26349,3,01-03 21:00,장동,0.4123222748815166,0.0,0.0051150895140664,0.0,0.912
26350,3,01-03 22:00,장동,0.3949447077409163,0.0,0.0025575447570332,0.0,0.935
26351,3,01-03 23:00,장동,0.3996840442338073,0.0,0.0051150895140664,0.0,0.945
26352,3,01-04 00:00,장동,0.377567140600316,0.0,0.0025575447570332,0.0,0.946
26353,3,01-04 01:00,장동,0.372827804107425,0.0,0.0051150895140664,0.0,0.934
26354,3,01-04 02:00,장동,0.3522906793048973,0.0,0.0051150895140664,0.0,0.909
26355,3,01-04 03:00,장동,0.3412322274881517,0.0,0.0,0.0,0.885
26356,3,01-04 04:00,장동,0.325434439178515,0.0,0.0,0.0,0.89
26357,3,01-04 05:00,장동,0.320695102685624,0.0,0.0025575447570332,0.0,0.885
26358,3,01-04 06:00,장동,0.3191153238546603,0.0,0.0,0.0,0.854
26359,3,01-04 07:00,장동,0.3459715639810427,0.0,0.0025575447570332,0.0,0.844
26360,3,01-04 08:00,장동,0.3933649289099526,0.0,0.0051150895140664,0.0,0.635
26361,3,01-04 09:00,장동,0.4502369668246446,0.2772222222222222,0.0153452685421994,0.0,0.409
26362,3,01-04 10:00,장동,0.4723538704581359,0.7441666666666666,0.0179028132992327,0.0,0.4
26363,3,01-04 11:00,장동,0.5086887835703002,0.1752777777777777,0.0332480818414322,0.0,0.178
26364,3,01-04 12:00,장동,0.5229067930489733,0.2036111111111111,0.0434782608695652,0.0,0.172
26365,3,01-04 13:00,장동,0.5418641390205372,0.1861111111111111,0.0383631713554987,0.0,0.146
26366,3,01-04 14:00,장동,0.5450236966824645,0.2119444444444444,0.0383631713554987,0.0,0.141
26367,3,01-04 15:00,장동,0.4676145339652449,0.0,0.0076726342710997,0.0,0.369
26368,3,01-04 16:00,장동,0.4265402843601896,0.0,0.0,0.0,0.491
26369,3,01-04 17:00,장동,0.3996840442338073,0.0,0.0,0.0,0.603
26370,3,01-04 18:00,장동,0.3886255924170616,0.0,0.0025575447570332,0.0,0.643
26371,3,01-04 19:00,장동,0.382306477093207,0.0,0.0051150895140664,0.0,0.668
