,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
0,0,01-01 00:00,정산,0.1026856240126382,0.0,0.0025575447570332,0.0,0.878
1,0,01-01 01:00,정산,0.0963665086887835,0.0,0.0025575447570332,0.0,0.874
2,0,01-01 02:00,정산,0.1090047393364929,0.0,0.0102301790281329,0.0,0.8770000000000001
3,0,01-01 03:00,정산,0.1390205371248025,0.0,0.0025575447570332,0.0,0.887
4,0,01-01 04:00,정산,0.1390205371248025,0.0,0.0025575447570332,0.0,0.892
5,0,01-01 05:00,정산,0.0979462875197472,0.0,0.0102301790281329,0.0,0.878
6,0,01-01 06:00,정산,0.0758293838862558,0.0,0.0025575447570332,0.0,0.864
7,0,01-01 07:00,정산,0.1169036334913112,0.0,0.0051150895140664,0.0,0.873
8,0,01-01 08:00,정산,0.1611374407582938,0.0,0.0102301790281329,0.0,0.8939999999999999
9,0,01-01 09:00,정산,0.2022116903633491,0.3433333333333333,0.0127877237851662,0.0,0.901
10,0,01-01 10:00,정산,0.2590837282780411,0.1605555555555555,0.0409207161125319,0.0,0.6589999999999999
11,0,01-01 11:00,정산,0.2938388625592417,0.9291666666666668,0.0588235294117647,0.0,0.547
12,0,01-01 12:00,정산,0.3080568720379147,0.8711111111111112,0.0562659846547314,0.0,0.524
13,0,01-01 13:00,정산,0.311216429699842,0.9002777777777778,0.0511508951406649,0.0,0.497
14,0,01-01 14:00,정산,0.3048973143759874,0.085,0.0460358056265984,0.0,0.506
15,0,01-01 15:00,정산,0.273301737756714,0.0483333333333333,0.0127877237851662,0.0,0.606
16,0,01-01 16:00,정산,0.2132701421800948,0.0,0.0025575447570332,0.0,0.833
17,0,01-01 17:00,정산,0.1721958925750395,0.0,0.0076726342710997,0.0,0.8620000000000001
18,0,01-01 18:00,정산,0.1800947867298578,0.0,0.0025575447570332,0.0,0.888
19,0,01-01 19:00,정산,0.2211690363349131,0.0,0.0076726342710997,0.0,0.853
20,0,01-01 20:00,정산,0.2401263823064771,0.0,0.0076726342710997,0.0,0.8320000000000001
21,0,01-01 21:00,정산,0.2401263823064771,0.0,0.0102301790281329,0.0,0.843
22,0,01-01 22:00,정산,0.2464454976303317,0.5780555555555555,0.0179028132992327,0.0,0.848
23,0,01-01 23:00,정산,0.2543443917851501,0.0,0.0076726342710997,0.0,0.836
24,0,01-02 00:00,정산,0.2590837282780411,0.0,0.0102301790281329,0.0,0.858
25,0,01-02 01:00,정산,0.2638230647709321,0.0,0.0,0.0,0.854
26,0,01-02 02:00,정산,0.2654028436018957,0.5805555555555556,0.0127877237851662,0.0,0.8839999999999999
27,0,01-02 03:00,정산,0.2669826224328594,0.0,0.0025575447570332,0.0,0.911
28,0,01-02 04:00,정산,0.2669826224328594,0.0,0.0051150895140664,0.0,0.922
29,0,01-02 05:00,정산,0.2606635071090047,0.0,0.0076726342710997,0.0,0.931
30,0,01-02 06:00,정산,0.2622432859399684,0.0,0.0102301790281329,0.0,0.945
31,0,01-02 07:00,정산,0.273301737756714,0.0,0.0102301790281329,0.0,0.927
32,0,01-02 08:00,정산,0.2875197472353871,0.2788888888888889,0.0127877237851662,0.0,0.859
33,0,01-02 09:00,정산,0.3143759873617693,0.1641666666666666,0.0281329923273657,0.0,0.786
34,0,01-02 10:00,정산,0.368088467614534,0.6286111111111111,0.0485933503836317,0.0,0.7520000000000001
35,0,01-02 11:00,정산,0.39652448657188,0.6622222222222223,0.0409207161125319,0.0,0.708
36,0,01-02 12:00,정산,0.401263823064771,0.1769444444444444,0.0230179028132992,0.0,0.683
37,0,01-02 13:00,정산,0.4139020537124803,0.0,0.0102301790281329,0.0,0.6900000000000001
