,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
26280,3,01-01 00:00,춘장대,0.278041074249605,0.0758333333333333,0.0997442455242966,0.0,0.6589999999999999
26281,3,01-01 01:00,춘장대,0.2812006319115324,0.0761111111111111,0.0281329923273657,0.0,0.64
26282,3,01-01 02:00,춘장대,0.2717219589257504,0.2691666666666666,0.0204603580562659,0.0,0.663
26283,3,01-01 03:00,춘장대,0.2290679304897314,0.265,0.0537084398976982,0.0,0.775
26284,3,01-01 04:00,춘장대,0.2353870458135861,0.2147222222222222,0.0741687979539642,0.0,0.771
26285,3,01-01 05:00,춘장대,0.2338072669826224,0.2411111111111111,0.0946291560102301,0.0,0.7939999999999999
26286,3,01-01 06:00,춘장대,0.2432859399684044,0.1880555555555555,0.0690537084398977,0.0,0.795
26287,3,01-01 07:00,춘장대,0.2638230647709321,0.2219444444444444,0.0562659846547314,0.0,0.7639999999999999
26288,3,01-01 08:00,춘장대,0.2938388625592417,0.2416666666666666,0.0358056265984654,0.0,0.708
26289,3,01-01 09:00,춘장대,0.3080568720379147,0.2502777777777777,0.0716112531969309,0.0,0.685
26290,3,01-01 10:00,춘장대,0.3364928909952607,0.2886111111111111,0.0306905370843989,0.0,0.581
26291,3,01-01 11:00,춘장대,0.3459715639810427,0.3988888888888889,0.0537084398976982,0.0,0.532
26292,3,01-01 12:00,춘장대,0.3507109004739336,0.2030555555555555,0.0153452685421994,0.0,0.555
26293,3,01-01 13:00,춘장대,0.3428120063191153,0.9769444444444444,0.0306905370843989,0.0,0.483
26294,3,01-01 14:00,춘장대,0.3522906793048973,0.2741666666666666,0.0230179028132992,0.0,0.506
26295,3,01-01 15:00,춘장대,0.3412322274881517,0.3288888888888889,0.0613810741687979,0.0,0.566
26296,3,01-01 16:00,춘장대,0.3333333333333333,0.37,0.0588235294117647,0.0,0.615
26297,3,01-01 17:00,춘장대,0.3175355450236967,0.3655555555555556,0.0741687979539642,0.0,0.588
26298,3,01-01 18:00,춘장대,0.3143759873617693,0.3575,0.0485933503836317,0.0,0.5650000000000001
26299,3,01-01 19:00,춘장대,0.282780410742496,0.2116666666666666,0.0716112531969309,0.0,0.663
26300,3,01-01 20:00,춘장대,0.2859399684044234,0.2133333333333333,0.0511508951406649,0.0,0.6859999999999999
26301,3,01-01 21:00,춘장대,0.2701421800947867,0.1916666666666666,0.0716112531969309,0.0,0.728
26302,3,01-01 22:00,춘장대,0.2685624012638231,0.2702777777777778,0.0741687979539642,0.0,0.711
26303,3,01-01 23:00,춘장대,0.2575039494470774,0.3311111111111111,0.0511508951406649,0.0,0.75
26304,3,01-02 00:00,춘장대,0.244865718799368,0.2158333333333333,0.0843989769820971,0.0,0.7789999999999999
26305,3,01-02 01:00,춘장대,0.2259083728278041,0.3261111111111111,0.0664961636828644,0.0,0.761
26306,3,01-02 02:00,춘장대,0.282780410742496,0.2522222222222222,0.0818414322250639,0.0,0.881
26307,3,01-02 03:00,춘장대,0.2938388625592417,0.3044444444444444,0.0971867007672634,0.0113636363636363,0.909
26308,3,01-02 04:00,춘장대,0.2859399684044234,0.2075,0.1048593350383631,0.0056818181818181,0.906
26309,3,01-02 05:00,춘장대,0.2685624012638231,0.2038888888888889,0.0920716112531969,0.0,0.895
26310,3,01-02 06:00,춘장대,0.2575039494470774,0.3161111111111111,0.0613810741687979,0.0,0.911
26311,3,01-02 07:00,춘장대,0.2606635071090047,0.3461111111111111,0.0588235294117647,0.0,0.913
26312,3,01-02 08:00,춘장대,0.296998420221169,0.2866666666666667,0.0792838874680307,0.0,0.868
26313,3,01-02 09:00,춘장대,0.3412322274881517,0.2902777777777778,0.0562659846547314,0.0,0.803
26314,3,01-02 10:00,춘장대,0.3759873617693523,0.4058333333333333,0.1176470588235294,0.0,0.728
26315,3,01-02 11:00,춘장대,0.377567140600316,0.4041666666666667,0.1508951406649616,0.0,0.7170000000000001
26316,3,01-02 12:00,춘장대,0.3917851500789889,0.4077777777777778,0.1227621483375959,0.0,0.6539999999999999
26317,3,01-02 13:00,춘장대,0.3933649289099526,0.3930555555555555,0.1278772378516624,0.0,0.6900000000000001
26318,3,01-02 14:00,춘장대,0.372827804107425,0.6058333333333333,0.0613810741687979,0.0113636363636363,0.907
26319,3,01-02 15:00,춘장대,0.382306477093207,0.4330555555555556,0.1227621483375959,0.0227272727272727,0.933
26320,3,01-02 16:00,춘장대,0.382306477093207,0.4541666666666666,0.1125319693094629,0.0,0.928
26321,3,01-02 17:00,춘장대,0.3807266982622433,0.3602777777777777,0.1048593350383631,0.0,0.936
26322,3,01-02 18:00,춘장대,0.3854660347551343,0.4219444444444444,0.0767263427109974,0.0,0.903
26323,3,01-02 19:00,춘장대,0.3759873617693523,0.2658333333333333,0.0434782608695652,0.0,0.905
26324,3,01-02 20:00,춘장대,0.4439178515007899,0.6875,0.1790281329923273,0.0,0.6
26325,3,01-02 21:00,춘장대,0.4518167456556082,0.6636111111111112,0.1739130434782608,0.0,0.554
26326,3,01-02 22:00,춘장대,0.4518167456556082,0.6813888888888889,0.1739130434782608,0.0,0.6389999999999999
26327,3,01-02 23:00,춘장대,0.4518167456556082,0.6972222222222223,0.1406649616368286,0.0,0.656
26328,3,01-03 00:00,춘장대,0.3807266982622433,0.3241666666666667,0.0639386189258312,0.0,0.7689999999999999
26329,3,01-03 01:00,춘장대,0.3459715639810427,0.3222222222222222,0.0613810741687979,0.0,0.851
26330,3,01-03 02:00,춘장대,0.320695102685624,0.2936111111111111,0.0741687979539642,0.0,0.896
26331,3,01-03 03:00,춘장대,0.3270142180094787,0.2441666666666667,0.0818414322250639,0.0,0.905
26332,3,01-03 04:00,춘장대,0.3285939968404424,0.2969444444444444,0.0895140664961636,0.0,0.883
26333,3,01-03 05:00,춘장대,0.3791469194312796,0.3777777777777777,0.1202046035805626,0.0,0.754
