,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
17520,2,01-01 00:00,태안,0.377567140600316,0.8177777777777777,0.0204603580562659,0.0,0.749
17521,2,01-01 01:00,태안,0.3696682464454977,0.0,0.0051150895140664,0.0,0.754
17522,2,01-01 02:00,태안,0.368088467614534,0.0,0.0076726342710997,0.0,0.745
17523,2,01-01 03:00,태안,0.377567140600316,0.8361111111111111,0.0281329923273657,0.0,0.7839999999999999
17524,2,01-01 04:00,태안,0.382306477093207,0.8638888888888889,0.0255754475703324,0.0,0.766
17525,2,01-01 05:00,태안,0.382306477093207,0.7861111111111111,0.0153452685421994,0.0,0.756
17526,2,01-01 06:00,태안,0.372827804107425,0.8083333333333333,0.0179028132992327,0.0,0.778
17527,2,01-01 07:00,태안,0.3933649289099526,0.7822222222222223,0.0230179028132992,0.0,0.73
17528,2,01-01 08:00,태안,0.406003159557662,0.8588888888888889,0.0716112531969309,0.0,0.668
17529,2,01-01 09:00,태안,0.4233807266982622,0.8297222222222222,0.0767263427109974,0.0,0.622
17530,2,01-01 10:00,태안,0.4123222748815166,0.8272222222222223,0.1023017902813299,0.0,0.63
17531,2,01-01 11:00,태안,0.4123222748815166,0.8491666666666666,0.0895140664961636,0.0,0.65
17532,2,01-01 12:00,태안,0.4107424960505529,0.8405555555555556,0.0895140664961636,0.0,0.675
17533,2,01-01 13:00,태안,0.4249605055292259,0.8275,0.0971867007672634,0.0,0.624
17534,2,01-01 14:00,태안,0.4123222748815166,0.8383333333333334,0.0792838874680307,0.0,0.656
17535,2,01-01 15:00,태안,0.4044233807266983,0.8555555555555556,0.0792838874680307,0.0,0.662
17536,2,01-01 16:00,태안,0.3996840442338073,0.8025,0.0588235294117647,0.0,0.673
17537,2,01-01 17:00,태안,0.39652448657188,0.8127777777777778,0.0588235294117647,0.0,0.662
17538,2,01-01 18:00,태안,0.3981042654028436,0.8013888888888889,0.0537084398976982,0.0,0.6489999999999999
17539,2,01-01 19:00,태안,0.401263823064771,0.8333333333333334,0.0613810741687979,0.0,0.655
17540,2,01-01 20:00,태안,0.3981042654028436,0.8352777777777778,0.0767263427109974,0.0,0.626
17541,2,01-01 21:00,태안,0.3996840442338073,0.8272222222222223,0.0639386189258312,0.0,0.64
17542,2,01-01 22:00,태안,0.39652448657188,0.8088888888888889,0.0460358056265984,0.0,0.6759999999999999
17543,2,01-01 23:00,태안,0.3996840442338073,0.8108333333333333,0.0562659846547314,0.0,0.5900000000000001
17544,2,01-02 00:00,태안,0.3981042654028436,0.8300000000000001,0.0434782608695652,0.0,0.6439999999999999
17545,2,01-02 01:00,태안,0.3981042654028436,0.81,0.0409207161125319,0.0,0.653
17546,2,01-02 02:00,태안,0.3996840442338073,0.7958333333333334,0.0511508951406649,0.0,0.62
17547,2,01-02 03:00,태안,0.401263823064771,0.8161111111111111,0.0588235294117647,0.0,0.588
17548,2,01-02 04:00,태안,0.3902053712480253,0.84,0.0664961636828644,0.0,0.7050000000000001
17549,2,01-02 05:00,태안,0.3854660347551343,0.8372222222222222,0.0664961636828644,0.0,0.658
17550,2,01-02 06:00,태안,0.3759873617693523,0.8463888888888889,0.0767263427109974,0.0,0.651
17551,2,01-02 07:00,태안,0.3807266982622433,0.861388888888889,0.0716112531969309,0.0,0.618
17552,2,01-02 08:00,태안,0.382306477093207,0.8366666666666667,0.0767263427109974,0.0,0.609
17553,2,01-02 09:00,태안,0.3807266982622433,0.8436111111111111,0.0920716112531969,0.0,0.626
17554,2,01-02 10:00,태안,0.3807266982622433,0.8441666666666666,0.0741687979539642,0.0,0.653
17555,2,01-02 11:00,태안,0.3870458135860979,0.8722222222222222,0.0741687979539642,0.0,0.6
17556,2,01-02 12:00,태안,0.39652448657188,0.836388888888889,0.0843989769820971,0.0,0.547
17557,2,01-02 13:00,태안,0.3886255924170616,0.8355555555555556,0.0895140664961636,0.0,0.52
17558,2,01-02 14:00,태안,0.3854660347551343,0.8577777777777779,0.0690537084398977,0.0,0.543
17559,2,01-02 15:00,태안,0.377567140600316,0.9161111111111112,0.0588235294117647,0.0,0.5630000000000001
17560,2,01-02 16:00,태안,0.358609794628752,0.955,0.0153452685421994,0.0,0.648
17561,2,01-02 17:00,태안,0.3507109004739336,0.9972222222222222,0.0127877237851662,0.0,0.6950000000000001
17562,2,01-02 18:00,태안,0.3412322274881517,0.0,0.0025575447570332,0.0,0.735
17563,2,01-02 19:00,태안,0.344391785150079,0.0,0.0051150895140664,0.0,0.7370000000000001
17564,2,01-02 20:00,태안,0.3649289099526067,0.0991666666666666,0.0409207161125319,0.0,0.6609999999999999
17565,2,01-02 21:00,태안,0.3333333333333333,0.0,0.0025575447570332,0.0,0.763
17566,2,01-02 22:00,태안,0.330173775671406,0.0,0.0102301790281329,0.0,0.788
17567,2,01-02 23:00,태안,0.3475513428120063,0.3077777777777777,0.0230179028132992,0.0,0.708
17568,2,01-03 00:00,태안,0.3459715639810427,0.2597222222222222,0.0306905370843989,0.0,0.709
17569,2,01-03 01:00,태안,0.3333333333333333,0.2875,0.0153452685421994,0.0,0.763
17570,2,01-03 02:00,태안,0.325434439178515,0.2461111111111111,0.0127877237851662,0.0,0.786
17571,2,01-03 03:00,태안,0.3507109004739336,0.3994444444444445,0.0153452685421994,0.0,0.7020000000000001
17572,2,01-03 04:00,태안,0.3522906793048973,0.3069444444444444,0.0179028132992327,0.0,0.708
17573,2,01-03 05:00,태안,0.353870458135861,0.2691666666666666,0.0255754475703324,0.0,0.673
17574,2,01-03 06:00,태안,0.34913112164297,0.0,0.0102301790281329,0.0,0.786
17575,2,01-03 07:00,태안,0.3617693522906793,0.2886111111111111,0.0281329923273657,0.0,0.619
17576,2,01-03 08:00,태안,0.3807266982622433,0.3533333333333333,0.0358056265984654,0.0,0.576
17577,2,01-03 09:00,태안,0.3902053712480253,0.3238888888888889,0.0409207161125319,0.0,0.584
17578,2,01-03 10:00,태안,0.3981042654028436,0.2522222222222222,0.0434782608695652,0.0,0.5850000000000001
17579,2,01-03 11:00,태안,0.39652448657188,0.9838888888888888,0.0434782608695652,0.0,0.593
17580,2,01-03 12:00,태안,0.4044233807266983,0.9122222222222222,0.0383631713554987,0.0,0.641
17581,2,01-03 13:00,태안,0.406003159557662,0.8913888888888889,0.0562659846547314,0.0,0.64
17582,2,01-03 14:00,태안,0.401263823064771,0.9913888888888888,0.0358056265984654,0.0,0.633
17583,2,01-03 15:00,태안,0.3933649289099526,0.8594444444444445,0.0434782608695652,0.0,0.647
17584,2,01-03 16:00,태안,0.368088467614534,0.8611111111111112,0.0281329923273657,0.0,0.604
17585,2,01-03 17:00,태안,0.3649289099526067,0.8630555555555556,0.0230179028132992,0.0,0.636
17586,2,01-03 18:00,태안,0.3522906793048973,0.9130555555555556,0.0127877237851662,0.0,0.696
17587,2,01-03 19:00,태안,0.3364928909952607,0.0,0.0102301790281329,0.0,0.777
17588,2,01-03 20:00,태안,0.3459715639810427,0.0,0.0076726342710997,0.0,0.781
17589,2,01-03 21:00,태안,0.3617693522906793,0.0,0.0076726342710997,0.0,0.7470000000000001
17590,2,01-03 22:00,태안,0.3570300157977883,0.0,0.0102301790281329,0.0,0.735
17591,2,01-03 23:00,태안,0.34913112164297,0.0,0.0102301790281329,0.0,0.808
17592,2,01-04 00:00,태안,0.368088467614534,0.8794444444444446,0.0127877237851662,0.0,0.718
17593,2,01-04 01:00,태안,0.363349131121643,0.915277777777778,0.0204603580562659,0.0,0.718
17594,2,01-04 02:00,태안,0.3333333333333333,0.8872222222222222,0.0127877237851662,0.0,0.8009999999999999
17595,2,01-04 03:00,태안,0.325434439178515,0.9594444444444444,0.0179028132992327,0.0,0.8109999999999999
17596,2,01-04 04:00,태안,0.3238546603475514,0.0,0.0102301790281329,0.0,0.8009999999999999
17597,2,01-04 05:00,태안,0.315955766192733,0.0,0.0,0.0,0.775
17598,2,01-04 06:00,태안,0.3285939968404424,0.0294444444444444,0.0179028132992327,0.0,0.793
17599,2,01-04 07:00,태안,0.3554502369668246,0.0,0.0102301790281329,0.0,0.7889999999999999
17600,2,01-04 08:00,태안,0.3838862559241706,0.8822222222222224,0.0281329923273657,0.0,0.646
17601,2,01-04 09:00,태안,0.3949447077409163,0.9822222222222224,0.0383631713554987,0.0,0.627
17602,2,01-04 10:00,태안,0.4107424960505529,0.7905555555555557,0.0434782608695652,0.0,0.5740000000000001
17603,2,01-04 11:00,태안,0.4123222748815166,0.8141666666666668,0.0562659846547314,0.0,0.544
17604,2,01-04 12:00,태안,0.4139020537124803,0.9011111111111112,0.0434782608695652,0.0,0.523
17605,2,01-04 13:00,태안,0.4139020537124803,0.8480555555555557,0.0664961636828644,0.0,0.549
17606,2,01-04 14:00,태안,0.406003159557662,0.9163888888888888,0.0664961636828644,0.0,0.555
17607,2,01-04 15:00,태안,0.3949447077409163,0.9372222222222222,0.0383631713554987,0.0,0.605
17608,2,01-04 16:00,태안,0.3791469194312796,0.99,0.0255754475703324,0.0,0.653
17609,2,01-04 17:00,태안,0.358609794628752,0.0,0.0076726342710997,0.0,0.743
17610,2,01-04 18:00,태안,0.34913112164297,0.0438888888888888,0.0255754475703324,0.0,0.755
17611,2,01-04 19:00,태안,0.3522906793048973,0.0,0.0076726342710997,0.0,0.716
17612,2,01-04 20:00,태안,0.3412322274881517,0.0,0.0051150895140664,0.0,0.768
17613,2,01-04 21:00,태안,0.334913112164297,0.0,0.0102301790281329,0.0,0.819
17614,2,01-04 22:00,태안,0.3333333333333333,0.1805555555555555,0.0127877237851662,0.0,0.8180000000000001
17615,2,01-04 23:00,태안,0.325434439178515,0.0,0.0,0.0,0.853
17616,2,01-05 00:00,태안,0.325434439178515,0.0,0.0,0.0,0.863
17617,2,01-05 01:00,태안,0.334913112164297,0.0,0.0,0.0,0.853
17618,2,01-05 02:00,태안,0.3412322274881517,0.0,0.0,0.0,0.854
17619,2,01-05 03:00,태안,0.330173775671406,0.0,0.0025575447570332,0.0,0.8820000000000001
17620,2,01-05 04:00,태안,0.330173775671406,0.0,0.0051150895140664,0.0,0.869
17621,2,01-05 05:00,태안,0.3317535545023697,0.0,0.0076726342710997,0.0,0.7689999999999999
17622,2,01-05 06:00,태안,0.358609794628752,0.135,0.0281329923273657,0.0,0.7120000000000001
17623,2,01-05 07:00,태안,0.3744075829383886,0.1922222222222222,0.0306905370843989,0.0,0.61
17624,2,01-05 08:00,태안,0.3791469194312796,0.3055555555555556,0.0383631713554987,0.0,0.598
17625,2,01-05 09:00,태안,0.39652448657188,0.3186111111111111,0.0460358056265984,0.0,0.539
17626,2,01-05 10:00,태안,0.4186413902053713,0.8858333333333333,0.0485933503836317,0.0,0.481
17627,2,01-05 11:00,태안,0.4075829383886256,0.0683333333333333,0.0664961636828644,0.0,0.358
17628,2,01-05 12:00,태안,0.4107424960505529,0.0572222222222222,0.0537084398976982,0.0,0.3409999999999999
17629,2,01-05 13:00,태안,0.4139020537124803,0.8991666666666667,0.0562659846547314,0.0,0.425
17630,2,01-05 14:00,태안,0.4123222748815166,0.9308333333333334,0.0613810741687979,0.0,0.361
17631,2,01-05 15:00,태안,0.3981042654028436,0.9558333333333334,0.0664961636828644,0.0,0.3859999999999999
17632,2,01-05 16:00,태안,0.382306477093207,0.8452777777777778,0.0306905370843989,0.0,0.447
17633,2,01-05 17:00,태안,0.3712480252764613,0.786388888888889,0.0204603580562659,0.0,0.45
17634,2,01-05 18:00,태안,0.3696682464454977,0.9166666666666669,0.0255754475703324,0.0,0.505
17635,2,01-05 19:00,태안,0.358609794628752,0.0,0.0076726342710997,0.0,0.5790000000000001
17636,2,01-05 20:00,태안,0.358609794628752,0.8472222222222222,0.0153452685421994,0.0,0.618
17637,2,01-05 21:00,태안,0.3744075829383886,0.9263888888888888,0.0179028132992327,0.0,0.5609999999999999
17638,2,01-05 22:00,태안,0.3570300157977883,0.9941666666666666,0.0127877237851662,0.0,0.632
17639,2,01-05 23:00,태안,0.3522906793048973,0.0,0.0051150895140664,0.0,0.673
17640,2,01-06 00:00,태안,0.34913112164297,0.0,0.0102301790281329,0.0,0.698
17641,2,01-06 01:00,태안,0.344391785150079,0.0,0.0051150895140664,0.0,0.729
17642,2,01-06 02:00,태안,0.3759873617693523,0.0238888888888888,0.0562659846547314,0.0,0.619
17643,2,01-06 03:00,태안,0.368088467614534,0.0475,0.0511508951406649,0.0,0.6
17644,2,01-06 04:00,태안,0.3380726698262243,0.0,0.0076726342710997,0.0,0.703
17645,2,01-06 05:00,태안,0.3333333333333333,0.2522222222222222,0.0179028132992327,0.0,0.7639999999999999
17646,2,01-06 06:00,태안,0.3333333333333333,0.0,0.0,0.0,0.7689999999999999
17647,2,01-06 07:00,태안,0.363349131121643,0.2186111111111111,0.0460358056265984,0.0,0.6609999999999999
17648,2,01-06 08:00,태안,0.363349131121643,0.78,0.0153452685421994,0.0,0.704
17649,2,01-06 09:00,태안,0.39652448657188,0.8725,0.0332480818414322,0.0,0.612
17650,2,01-06 10:00,태안,0.4139020537124803,0.9430555555555556,0.0255754475703324,0.0,0.576
17651,2,01-06 11:00,태안,0.4281200631911532,0.8305555555555556,0.0537084398976982,0.0,0.518
17652,2,01-06 12:00,태안,0.4423380726698263,0.982777777777778,0.0485933503836317,0.0,0.464
17653,2,01-06 13:00,태안,0.4360189573459716,0.895,0.0613810741687979,0.0,0.481
17654,2,01-06 14:00,태안,0.4265402843601896,0.8633333333333334,0.0690537084398977,0.0,0.501
17655,2,01-06 15:00,태안,0.4107424960505529,0.8986111111111111,0.0562659846547314,0.0,0.514
17656,2,01-06 16:00,태안,0.3902053712480253,0.9683333333333334,0.0741687979539642,0.0,0.553
17657,2,01-06 17:00,태안,0.377567140600316,0.9619444444444444,0.0204603580562659,0.0,0.6289999999999999
17658,2,01-06 18:00,태안,0.3522906793048973,0.0,0.0,0.0,0.6950000000000001
17659,2,01-06 19:00,태안,0.3507109004739336,0.0,0.0,0.0,0.701
17660,2,01-06 20:00,태안,0.3475513428120063,0.0,0.0,0.0,0.733
17661,2,01-06 21:00,태안,0.339652448657188,0.0,0.0,0.0,0.756
17662,2,01-06 22:00,태안,0.3333333333333333,0.0,0.0,0.0,0.777
17663,2,01-06 23:00,태안,0.334913112164297,0.0,0.0,0.0,0.78
17664,2,01-07 00:00,태안,0.3333333333333333,0.0,0.0,0.0,0.7959999999999999
17665,2,01-07 01:00,태안,0.3380726698262243,0.0,0.0051150895140664,0.0,0.781
17666,2,01-07 02:00,태안,0.3507109004739336,0.8705555555555555,0.0204603580562659,0.0,0.75
17667,2,01-07 03:00,태안,0.3364928909952607,0.84,0.0255754475703324,0.0,0.786
17668,2,01-07 04:00,태안,0.3712480252764613,0.9280555555555556,0.0383631713554987,0.0,0.657
17669,2,01-07 05:00,태안,0.377567140600316,0.920277777777778,0.0358056265984654,0.0,0.608
17670,2,01-07 06:00,태안,0.353870458135861,0.9580555555555555,0.0179028132992327,0.0,0.6739999999999999
17671,2,01-07 07:00,태안,0.3917851500789889,0.8083333333333333,0.0281329923273657,0.0,0.584
17672,2,01-07 08:00,태안,0.4233807266982622,0.8819444444444445,0.0434782608695652,0.0,0.5459999999999999
17673,2,01-07 09:00,태안,0.4344391785150079,0.8797222222222222,0.0690537084398977,0.0,0.531
17674,2,01-07 10:00,태안,0.4470774091627172,0.883888888888889,0.0664961636828644,0.0,0.506
17675,2,01-07 11:00,태안,0.4581358609794629,0.8083333333333333,0.0639386189258312,0.0,0.47
17676,2,01-07 12:00,태안,0.4533965244865719,0.8383333333333334,0.0767263427109974,0.0,0.427
17677,2,01-07 13:00,태안,0.4533965244865719,0.8236111111111112,0.0690537084398977,0.0,0.377
17678,2,01-07 14:00,태안,0.4454976303317536,0.8558333333333334,0.0690537084398977,0.0,0.419
17679,2,01-07 15:00,태안,0.4249605055292259,0.8288888888888889,0.0562659846547314,0.0,0.6289999999999999
17680,2,01-07 16:00,태안,0.401263823064771,0.0,0.0051150895140664,0.0,0.7050000000000001
17681,2,01-07 17:00,태안,0.382306477093207,0.0,0.0,0.0,0.768
17682,2,01-07 18:00,태안,0.372827804107425,0.0,0.0,0.0,0.8089999999999999
17683,2,01-07 19:00,태안,0.3665086887835703,0.0,0.0,0.0,0.823
17684,2,01-07 20:00,태안,0.363349131121643,0.0,0.0,0.0,0.829
17685,2,01-07 21:00,태안,0.3617693522906793,0.0,0.0,0.0,0.851
17686,2,01-07 22:00,태안,0.3617693522906793,0.0,0.0,0.0,0.856
17687,2,01-07 23:00,태안,0.3649289099526067,0.0,0.0,0.0,0.8500000000000001
17688,2,01-08 00:00,태안,0.3665086887835703,0.0,0.0,0.0,0.8420000000000001
