,연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
26280,3,01-01 00:00,홍북,0.2369668246445497,0.7197222222222223,0.0179028132992327,0.0,0.753
26281,3,01-01 01:00,홍북,0.2227488151658767,0.0,0.0,0.0,0.786
26282,3,01-01 02:00,홍북,0.2274881516587678,0.0,0.0,0.0,0.798
26283,3,01-01 03:00,홍북,0.2290679304897314,0.0,0.0,0.0,0.782
26284,3,01-01 04:00,홍북,0.2116903633491311,0.0,0.0,0.0,0.88
26285,3,01-01 05:00,홍북,0.2069510268562401,0.0,0.0,0.0,0.876
26286,3,01-01 06:00,홍북,0.1974723538704581,0.0,0.0051150895140664,0.0,0.839
26287,3,01-01 07:00,홍북,0.2290679304897314,0.0,0.0,0.0,0.8220000000000001
26288,3,01-01 08:00,홍북,0.2496050552922591,0.3586111111111111,0.0255754475703324,0.0,0.783
26289,3,01-01 09:00,홍북,0.2654028436018957,0.3044444444444444,0.0358056265984654,0.0,0.741
26290,3,01-01 10:00,홍북,0.2938388625592417,0.2908333333333333,0.0588235294117647,0.0,0.601
26291,3,01-01 11:00,홍북,0.311216429699842,0.2711111111111111,0.0434782608695652,0.0,0.514
26292,3,01-01 12:00,홍북,0.325434439178515,0.3330555555555556,0.0179028132992327,0.0,0.424
26293,3,01-01 13:00,홍북,0.3270142180094787,0.2705555555555556,0.0230179028132992,0.0,0.41
26294,3,01-01 14:00,홍북,0.3270142180094787,0.2883333333333333,0.0358056265984654,0.0,0.478
26295,3,01-01 15:00,홍북,0.3143759873617693,0.2605555555555555,0.0306905370843989,0.0,0.53
26296,3,01-01 16:00,홍북,0.3080568720379147,0.0,0.0,0.0,0.568
26297,3,01-01 17:00,홍북,0.296998420221169,0.2483333333333333,0.0204603580562659,0.0,0.586
26298,3,01-01 18:00,홍북,0.2764612954186414,0.3108333333333333,0.0179028132992327,0.0,0.66
26299,3,01-01 19:00,홍북,0.2812006319115324,0.2869444444444444,0.0204603580562659,0.0,0.632
26300,3,01-01 20:00,홍북,0.278041074249605,0.6805555555555556,0.0306905370843989,0.0,0.665
26301,3,01-01 21:00,홍북,0.2812006319115324,0.3452777777777778,0.0127877237851662,0.0,0.651
26302,3,01-01 22:00,홍북,0.2796208530805687,0.3083333333333333,0.0281329923273657,0.0,0.663
26303,3,01-01 23:00,홍북,0.2654028436018957,0.3488888888888888,0.0127877237851662,0.0,0.704
26304,3,01-02 00:00,홍북,0.2717219589257504,0.0,0.0025575447570332,0.0,0.76
26305,3,01-02 01:00,홍북,0.2796208530805687,0.0,0.0025575447570332,0.0,0.751
26306,3,01-02 02:00,홍북,0.2843601895734597,0.0,0.0,0.0,0.718
26307,3,01-02 03:00,홍북,0.2796208530805687,0.0,0.0,0.0,0.803
26308,3,01-02 04:00,홍북,0.2654028436018957,0.0,0.0102301790281329,0.0,0.88
26309,3,01-02 05:00,홍북,0.2606635071090047,0.0,0.0076726342710997,0.0,0.96
26310,3,01-02 06:00,홍북,0.2575039494470774,0.0,0.0076726342710997,0.0,0.943
26311,3,01-02 07:00,홍북,0.2938388625592417,0.0,0.0,0.0,0.848
26312,3,01-02 08:00,홍북,0.315955766192733,0.0,0.0,0.0,0.763
26313,3,01-02 09:00,홍북,0.3649289099526067,0.0,0.0076726342710997,0.0,0.693
26314,3,01-02 10:00,홍북,0.4028436018957346,0.3016666666666666,0.0281329923273657,0.0,0.586
26315,3,01-02 11:00,홍북,0.4265402843601896,0.7241666666666666,0.0460358056265984,0.0,0.572
26316,3,01-02 12:00,홍북,0.4202211690363349,0.6002777777777778,0.0767263427109974,0.0,0.591
26317,3,01-02 13:00,홍북,0.3933649289099526,0.6436111111111111,0.0460358056265984,0.0,0.762
26318,3,01-02 14:00,홍북,0.377567140600316,0.5777777777777778,0.0511508951406649,0.0,0.92
26319,3,01-02 15:00,홍북,0.3617693522906793,0.5263888888888889,0.0485933503836317,0.0,0.963
26320,3,01-02 16:00,홍북,0.3554502369668246,0.0,0.0025575447570332,0.0,0.982
26321,3,01-02 17:00,홍북,0.3570300157977883,0.0,0.0102301790281329,0.0,0.982
26322,3,01-02 18:00,홍북,0.34913112164297,0.2183333333333333,0.0230179028132992,0.0,0.982
26323,3,01-02 19:00,홍북,0.3459715639810427,0.0,0.0025575447570332,0.0,0.982
26324,3,01-02 20:00,홍북,0.34913112164297,0.235,0.0127877237851662,0.0,0.982
26325,3,01-02 21:00,홍북,0.3459715639810427,0.0,0.0,0.0,0.982
26326,3,01-02 22:00,홍북,0.3475513428120063,0.3527777777777778,0.0153452685421994,0.0,0.982
26327,3,01-02 23:00,홍북,0.3428120063191153,0.0,0.0051150895140664,0.0,0.982
26328,3,01-03 00:00,홍북,0.3459715639810427,0.0,0.0,0.0,0.982
26329,3,01-03 01:00,홍북,0.339652448657188,0.2386111111111111,0.0460358056265984,0.0,0.982
26330,3,01-03 02:00,홍북,0.3380726698262243,0.2313888888888889,0.0281329923273657,0.0,0.982
26331,3,01-03 03:00,홍북,0.3428120063191153,0.2325,0.0153452685421994,0.0,0.982
26332,3,01-03 04:00,홍북,0.339652448657188,0.0,0.0102301790281329,0.0,0.976
26333,3,01-03 05:00,홍북,0.3522906793048973,0.0,0.0,0.0,0.974
26334,3,01-03 06:00,홍북,0.353870458135861,0.0,0.0,0.0,0.932
26335,3,01-03 07:00,홍북,0.377567140600316,0.0,0.0,0.0,0.923
26336,3,01-03 08:00,홍북,0.4218009478672986,0.2772222222222222,0.0127877237851662,0.0,0.7789999999999999
26337,3,01-03 09:00,홍북,0.4644549763033175,0.3536111111111111,0.0332480818414322,0.0,0.6950000000000001
26338,3,01-03 10:00,홍북,0.5071090047393365,0.5972222222222222,0.0562659846547314,0.0,0.5950000000000001
26339,3,01-03 11:00,홍북,0.5150078988941549,0.67,0.0741687979539642,0.0,0.5850000000000001
26340,3,01-03 12:00,홍북,0.5118483412322276,0.6702777777777779,0.0792838874680307,0.0,0.616
26341,3,01-03 13:00,홍북,0.5007898894154819,0.6752777777777778,0.0767263427109974,0.0,0.682
26342,3,01-03 14:00,홍북,0.4976303317535545,0.6533333333333333,0.0946291560102301,0.0,0.729
26343,3,01-03 15:00,홍북,0.4755134281200632,0.706388888888889,0.0818414322250639,0.0,0.807
26344,3,01-03 16:00,홍북,0.4644549763033175,0.7202777777777778,0.0613810741687979,0.0,0.883
26345,3,01-03 17:00,홍북,0.4486571879936809,0.7658333333333334,0.0613810741687979,0.0,0.982
26346,3,01-03 18:00,홍북,0.4375987361769353,0.7541666666666667,0.0716112531969309,0.0,0.982
26347,3,01-03 19:00,홍북,0.4296998420221169,0.7572222222222224,0.0537084398976982,0.0,0.982
26348,3,01-03 20:00,홍북,0.4281200631911532,0.8088888888888889,0.0434782608695652,0.0,0.911
26349,3,01-03 21:00,홍북,0.3981042654028436,0.8011111111111111,0.0537084398976982,0.0,0.981
26350,3,01-03 22:00,홍북,0.3870458135860979,0.8536111111111112,0.0281329923273657,0.0,0.971
26351,3,01-03 23:00,홍북,0.3854660347551343,0.0,0.0102301790281329,0.0,0.952
26352,3,01-04 00:00,홍북,0.377567140600316,0.4713888888888888,0.0127877237851662,0.0,0.653
26353,3,01-04 01:00,홍북,0.3744075829383886,0.2,0.0358056265984654,0.0,0.606
26354,3,01-04 02:00,홍북,0.339652448657188,0.8483333333333333,0.0127877237851662,0.0,0.775
26355,3,01-04 03:00,홍북,0.3317535545023697,0.7577777777777779,0.0306905370843989,0.0,0.792
26356,3,01-04 04:00,홍북,0.334913112164297,0.0,0.0076726342710997,0.0,0.7100000000000001
26357,3,01-04 05:00,홍북,0.315955766192733,0.3033333333333333,0.0767263427109974,0.0,0.816
26358,3,01-04 06:00,홍북,0.3175355450236967,0.2872222222222222,0.0613810741687979,0.0,0.823
26359,3,01-04 07:00,홍북,0.3475513428120063,0.2872222222222222,0.0690537084398977,0.0,0.77
26360,3,01-04 08:00,홍북,0.3949447077409163,0.2713888888888889,0.0818414322250639,0.0,0.617
26361,3,01-04 09:00,홍북,0.4360189573459716,0.2713888888888889,0.0818414322250639,0.0,0.357
26362,3,01-04 10:00,홍북,0.4628751974723539,0.2972222222222222,0.0588235294117647,0.0,0.2269999999999999
26363,3,01-04 11:00,홍북,0.4723538704581359,0.2655555555555555,0.0588235294117647,0.0,0.26
26364,3,01-04 12:00,홍북,0.4786729857819906,0.2372222222222222,0.0690537084398977,0.0,0.286
26365,3,01-04 13:00,홍북,0.4818325434439179,0.2708333333333333,0.0613810741687979,0.0,0.31
26366,3,01-04 14:00,홍북,0.4928909952606635,0.2583333333333333,0.0409207161125319,0.0,0.2699999999999999
26367,3,01-04 15:00,홍북,0.4723538704581359,0.2658333333333333,0.0383631713554987,0.0,0.3
26368,3,01-04 16:00,홍북,0.4470774091627172,0.0,0.0051150895140664,0.0,0.335
26369,3,01-04 17:00,홍북,0.4312796208530806,0.55,0.0127877237851662,0.0,0.367
26370,3,01-04 18:00,홍북,0.4281200631911532,0.0,0.0102301790281329,0.0,0.3809999999999999
26371,3,01-04 19:00,홍북,0.4533965244865719,0.56,0.0230179028132992,0.0,0.334
26372,3,01-04 20:00,홍북,0.4581358609794629,0.4513888888888889,0.0255754475703324,0.0,0.355
26373,3,01-04 21:00,홍북,0.4549763033175356,0.31,0.0204603580562659,0.0,0.4
26374,3,01-04 22:00,홍북,0.4518167456556082,0.2263888888888889,0.0153452685421994,0.0,0.415
26375,3,01-04 23:00,홍북,0.4533965244865719,0.0,0.0102301790281329,0.0,0.473
26376,3,01-05 00:00,홍북,0.4644549763033175,0.2852777777777778,0.0306905370843989,0.0,0.497
26377,3,01-05 01:00,홍북,0.4549763033175356,0.2511111111111111,0.0306905370843989,0.0,0.559
26378,3,01-05 02:00,홍북,0.4786729857819906,0.5533333333333333,0.0409207161125319,0.0,0.7570000000000001
26379,3,01-05 03:00,홍북,0.5007898894154819,0.6355555555555557,0.0613810741687979,0.0,0.8470000000000001
26380,3,01-05 04:00,홍북,0.5071090047393365,0.6113888888888889,0.0485933503836317,0.0,0.8670000000000001
26381,3,01-05 05:00,홍북,0.4960505529225908,0.4375,0.0383631713554987,0.0,0.831
26382,3,01-05 06:00,홍북,0.5118483412322276,0.5933333333333334,0.0537084398976982,0.0,0.824
