,연도,일시,측정소,PM2.5
17520,2,01-01 00:00,공주,0.128
17521,2,01-01 01:00,공주,0.112
17522,2,01-01 02:00,공주,0.116
17523,2,01-01 03:00,공주,0.104
17524,2,01-01 04:00,공주,0.096
17525,2,01-01 05:00,공주,0.096
17526,2,01-01 06:00,공주,0.088
17527,2,01-01 07:00,공주,0.1
17528,2,01-01 08:00,공주,0.112
17529,2,01-01 09:00,공주,0.096
17530,2,01-01 10:00,공주,0.084
17531,2,01-01 11:00,공주,0.064
17532,2,01-01 12:00,공주,0.08
17533,2,01-01 13:00,공주,0.064
17534,2,01-01 14:00,공주,0.056
17535,2,01-01 15:00,공주,0.052
17536,2,01-01 16:00,공주,0.056
17537,2,01-01 17:00,공주,0.056
17538,2,01-01 18:00,공주,0.06
17539,2,01-01 19:00,공주,0.052
17540,2,01-01 20:00,공주,0.068
17541,2,01-01 21:00,공주,0.06
17542,2,01-01 22:00,공주,0.06
17543,2,01-01 23:00,공주,0.056
17544,2,01-02 00:00,공주,0.052
17545,2,01-02 01:00,공주,0.06
17546,2,01-02 02:00,공주,0.06
17547,2,01-02 03:00,공주,0.052
17548,2,01-02 04:00,공주,0.044
17549,2,01-02 05:00,공주,0.06
17550,2,01-02 06:00,공주,0.052
17551,2,01-02 07:00,공주,0.068
17552,2,01-02 08:00,공주,0.064
17553,2,01-02 09:00,공주,0.084
17554,2,01-02 10:00,공주,0.092
17555,2,01-02 11:00,공주,0.08
17556,2,01-02 12:00,공주,0.056
17557,2,01-02 13:00,공주,0.044
17558,2,01-02 14:00,공주,0.044
17559,2,01-02 15:00,공주,0.04
17560,2,01-02 16:00,공주,0.032
17561,2,01-02 17:00,공주,0.036
17562,2,01-02 18:00,공주,0.032
17563,2,01-02 19:00,공주,0.04
17564,2,01-02 20:00,공주,0.044
17565,2,01-02 21:00,공주,0.044
17566,2,01-02 22:00,공주,0.04
17567,2,01-02 23:00,공주,0.044
17568,2,01-03 00:00,공주,0.04
17569,2,01-03 01:00,공주,0.06
17570,2,01-03 02:00,공주,0.068
17571,2,01-03 03:00,공주,0.072
17572,2,01-03 04:00,공주,0.08
17573,2,01-03 05:00,공주,0.072
17574,2,01-03 06:00,공주,0.064
17575,2,01-03 07:00,공주,0.076
17576,2,01-03 08:00,공주,0.084
17577,2,01-03 09:00,공주,0.096
17578,2,01-03 10:00,공주,0.092
17579,2,01-03 11:00,공주,0.108
17580,2,01-03 12:00,공주,0.108
17581,2,01-03 13:00,공주,0.092
17582,2,01-03 14:00,공주,0.112
17583,2,01-03 15:00,공주,0.104
17584,2,01-03 16:00,공주,0.116
17585,2,01-03 17:00,공주,0.128
17586,2,01-03 18:00,공주,0.152
17587,2,01-03 19:00,공주,0.152
17588,2,01-03 20:00,공주,0.152
17589,2,01-03 21:00,공주,0.148
17590,2,01-03 22:00,공주,0.108
17591,2,01-03 23:00,공주,0.104
17592,2,01-04 00:00,공주,0.1
17593,2,01-04 01:00,공주,0.096
17594,2,01-04 02:00,공주,0.084
17595,2,01-04 03:00,공주,0.084
17596,2,01-04 04:00,공주,0.084
17597,2,01-04 05:00,공주,0.104
17598,2,01-04 06:00,공주,0.124
17599,2,01-04 07:00,공주,0.14
17600,2,01-04 08:00,공주,0.136
17601,2,01-04 09:00,공주,0.152
17602,2,01-04 10:00,공주,0.136
17603,2,01-04 11:00,공주,0.088
17604,2,01-04 12:00,공주,0.072
17605,2,01-04 13:00,공주,0.076
17606,2,01-04 14:00,공주,0.1
17607,2,01-04 15:00,공주,0.104
