,연도,일시,측정소,PM2.5
17520,2,01-01 00:00,노은동,0.12
17521,2,01-01 01:00,노은동,0.112
17522,2,01-01 02:00,노은동,0.108
17523,2,01-01 03:00,노은동,0.088
17524,2,01-01 04:00,노은동,0.092
17525,2,01-01 05:00,노은동,0.08
17526,2,01-01 06:00,노은동,0.056
17527,2,01-01 07:00,노은동,0.076
17528,2,01-01 08:00,노은동,0.116
17529,2,01-01 09:00,노은동,0.084
17530,2,01-01 10:00,노은동,0.064
17531,2,01-01 11:00,노은동,0.06
17532,2,01-01 12:00,노은동,0.068
17533,2,01-01 13:00,노은동,0.06
17534,2,01-01 14:00,노은동,0.052
17535,2,01-01 15:00,노은동,0.04
17536,2,01-01 16:00,노은동,0.032
17537,2,01-01 17:00,노은동,0.04
17538,2,01-01 18:00,노은동,0.052
17539,2,01-01 19:00,노은동,0.048
17540,2,01-01 20:00,노은동,0.052
17541,2,01-01 21:00,노은동,0.04
17542,2,01-01 22:00,노은동,0.036
17543,2,01-01 23:00,노은동,0.048
17544,2,01-02 00:00,노은동,0.032
17545,2,01-02 01:00,노은동,0.02
17546,2,01-02 02:00,노은동,0.036
17547,2,01-02 03:00,노은동,0.048
17548,2,01-02 04:00,노은동,0.048
17549,2,01-02 05:00,노은동,0.04
17550,2,01-02 06:00,노은동,0.04
17551,2,01-02 07:00,노은동,0.056
17552,2,01-02 08:00,노은동,0.1
17553,2,01-02 09:00,노은동,0.072
17554,2,01-02 10:00,노은동,0.068
17555,2,01-02 11:00,노은동,0.08
17556,2,01-02 12:00,노은동,0.024
17557,2,01-02 13:00,노은동,0.028
17558,2,01-02 14:00,노은동,0.032
17559,2,01-02 15:00,노은동,0.02
17560,2,01-02 16:00,노은동,0.04
17561,2,01-02 17:00,노은동,0.024
17562,2,01-02 18:00,노은동,0.032
17563,2,01-02 19:00,노은동,0.032
17564,2,01-02 20:00,노은동,0.024
17565,2,01-02 21:00,노은동,0.028
17566,2,01-02 22:00,노은동,0.044
