,연도,일시,측정소,PM2.5
0,0,01-01 00:00,독곶리,0.044
1,0,01-01 01:00,독곶리,0.032
2,0,01-01 02:00,독곶리,0.036
3,0,01-01 03:00,독곶리,0.028
4,0,01-01 04:00,독곶리,0.028
5,0,01-01 05:00,독곶리,0.032
6,0,01-01 06:00,독곶리,0.028
7,0,01-01 07:00,독곶리,0.032
8,0,01-01 08:00,독곶리,0.024
9,0,01-01 09:00,독곶리,0.02
10,0,01-01 10:00,독곶리,0.024
11,0,01-01 11:00,독곶리,0.032
12,0,01-01 12:00,독곶리,0.036
13,0,01-01 13:00,독곶리,0.024
14,0,01-01 14:00,독곶리,0.028
15,0,01-01 15:00,독곶리,0.04
16,0,01-01 16:00,독곶리,0.028
17,0,01-01 17:00,독곶리,0.016
18,0,01-01 18:00,독곶리,0.008
19,0,01-01 19:00,독곶리,0.024
20,0,01-01 20:00,독곶리,0.04
21,0,01-01 21:00,독곶리,0.044
22,0,01-01 22:00,독곶리,0.072
23,0,01-01 23:00,독곶리,0.064
24,0,01-02 00:00,독곶리,0.08
25,0,01-02 01:00,독곶리,0.092
26,0,01-02 02:00,독곶리,0.08
27,0,01-02 03:00,독곶리,
28,0,01-02 04:00,독곶리,
29,0,01-02 05:00,독곶리,
30,0,01-02 06:00,독곶리,
31,0,01-02 07:00,독곶리,
32,0,01-02 08:00,독곶리,
33,0,01-02 09:00,독곶리,
34,0,01-02 10:00,독곶리,
35,0,01-02 11:00,독곶리,0.184
36,0,01-02 12:00,독곶리,0.164
37,0,01-02 13:00,독곶리,0.212
38,0,01-02 14:00,독곶리,0.18
39,0,01-02 15:00,독곶리,0.116
40,0,01-02 16:00,독곶리,0.196
41,0,01-02 17:00,독곶리,0.28
42,0,01-02 18:00,독곶리,0.28
43,0,01-02 19:00,독곶리,0.252
44,0,01-02 20:00,독곶리,
45,0,01-02 21:00,독곶리,
46,0,01-02 22:00,독곶리,0.176
47,0,01-02 23:00,독곶리,0.196
48,0,01-03 00:00,독곶리,0.164
49,0,01-03 01:00,독곶리,0.172
50,0,01-03 02:00,독곶리,0.184
51,0,01-03 03:00,독곶리,0.164
52,0,01-03 04:00,독곶리,0.16
53,0,01-03 05:00,독곶리,0.16
54,0,01-03 06:00,독곶리,0.168
55,0,01-03 07:00,독곶리,0.172
56,0,01-03 08:00,독곶리,0.192
57,0,01-03 09:00,독곶리,0.184
58,0,01-03 10:00,독곶리,0.172
59,0,01-03 11:00,독곶리,0.124
60,0,01-03 12:00,독곶리,0.092
61,0,01-03 13:00,독곶리,0.092
62,0,01-03 14:00,독곶리,0.08
63,0,01-03 15:00,독곶리,0.088
64,0,01-03 16:00,독곶리,0.1
65,0,01-03 17:00,독곶리,0.108
66,0,01-03 18:00,독곶리,0.104
67,0,01-03 19:00,독곶리,0.1
68,0,01-03 20:00,독곶리,0.104
69,0,01-03 21:00,독곶리,
70,0,01-03 22:00,독곶리,
71,0,01-03 23:00,독곶리,0.124
72,0,01-04 00:00,독곶리,0.124
73,0,01-04 01:00,독곶리,0.124
74,0,01-04 02:00,독곶리,0.124
75,0,01-04 03:00,독곶리,0.128
76,0,01-04 04:00,독곶리,0.116
77,0,01-04 05:00,독곶리,0.056
78,0,01-04 06:00,독곶리,0.036
79,0,01-04 07:00,독곶리,0.088
80,0,01-04 08:00,독곶리,0.1
81,0,01-04 09:00,독곶리,0.112
82,0,01-04 10:00,독곶리,0.176
83,0,01-04 11:00,독곶리,0.252
84,0,01-04 12:00,독곶리,0.296
85,0,01-04 13:00,독곶리,0.308
86,0,01-04 14:00,독곶리,0.284
87,0,01-04 15:00,독곶리,0.272
88,0,01-04 16:00,독곶리,0.276
89,0,01-04 17:00,독곶리,0.316
90,0,01-04 18:00,독곶리,0.32
91,0,01-04 19:00,독곶리,0.28
92,0,01-04 20:00,독곶리,0.324
93,0,01-04 21:00,독곶리,0.332
94,0,01-04 22:00,독곶리,0.292
95,0,01-04 23:00,독곶리,0.276
96,0,01-05 00:00,독곶리,0.34
97,0,01-05 01:00,독곶리,0.328
98,0,01-05 02:00,독곶리,0.296
99,0,01-05 03:00,독곶리,0.308
100,0,01-05 04:00,독곶리,0.316
101,0,01-05 05:00,독곶리,0.344
102,0,01-05 06:00,독곶리,0.364
103,0,01-05 07:00,독곶리,0.352
104,0,01-05 08:00,독곶리,0.328
105,0,01-05 09:00,독곶리,0.356
106,0,01-05 10:00,독곶리,0.4
107,0,01-05 11:00,독곶리,0.416
108,0,01-05 12:00,독곶리,0.376
109,0,01-05 13:00,독곶리,0.42
