,연도,일시,측정소,PM2.5
8760,1,01-01 00:00,동문동,0.272
8761,1,01-01 01:00,동문동,0.288
8762,1,01-01 02:00,동문동,0.272
8763,1,01-01 03:00,동문동,
8764,1,01-01 04:00,동문동,
8765,1,01-01 05:00,동문동,
8766,1,01-01 06:00,동문동,
8767,1,01-01 07:00,동문동,
8768,1,01-01 08:00,동문동,
8769,1,01-01 09:00,동문동,
8770,1,01-01 10:00,동문동,0.292
8771,1,01-01 11:00,동문동,0.34
8772,1,01-01 12:00,동문동,0.284
8773,1,01-01 13:00,동문동,0.252
8774,1,01-01 14:00,동문동,0.24
8775,1,01-01 15:00,동문동,0.228
8776,1,01-01 16:00,동문동,0.228
8777,1,01-01 17:00,동문동,0.22
8778,1,01-01 18:00,동문동,0.22
8779,1,01-01 19:00,동문동,0.22
8780,1,01-01 20:00,동문동,0.224
8781,1,01-01 21:00,동문동,0.216
8782,1,01-01 22:00,동문동,0.208
8783,1,01-01 23:00,동문동,0.212
8784,1,01-02 00:00,동문동,0.232
8785,1,01-02 01:00,동문동,0.264
8786,1,01-02 02:00,동문동,0.264
8787,1,01-02 03:00,동문동,0.256
8788,1,01-02 04:00,동문동,0.256
8789,1,01-02 05:00,동문동,0.252
8790,1,01-02 06:00,동문동,0.26
8791,1,01-02 07:00,동문동,0.26
8792,1,01-02 08:00,동문동,0.28
8793,1,01-02 09:00,동문동,0.32
8794,1,01-02 10:00,동문동,0.344
8795,1,01-02 11:00,동문동,0.324
8796,1,01-02 12:00,동문동,0.284
8797,1,01-02 13:00,동문동,0.248
8798,1,01-02 14:00,동문동,0.24
8799,1,01-02 15:00,동문동,0.256
8800,1,01-02 16:00,동문동,0.288
8801,1,01-02 17:00,동문동,0.3
8802,1,01-02 18:00,동문동,0.316
8803,1,01-02 19:00,동문동,0.324
8804,1,01-02 20:00,동문동,0.36
8805,1,01-02 21:00,동문동,0.424
8806,1,01-02 22:00,동문동,0.48
8807,1,01-02 23:00,동문동,0.488
8808,1,01-03 00:00,동문동,0.5
8809,1,01-03 01:00,동문동,0.488
8810,1,01-03 02:00,동문동,0.464
8811,1,01-03 03:00,동문동,0.44
8812,1,01-03 04:00,동문동,0.424
8813,1,01-03 05:00,동문동,0.4
8814,1,01-03 06:00,동문동,0.392
8815,1,01-03 07:00,동문동,0.376
8816,1,01-03 08:00,동문동,0.364
8817,1,01-03 09:00,동문동,0.376
8818,1,01-03 10:00,동문동,0.396
8819,1,01-03 11:00,동문동,0.408
8820,1,01-03 12:00,동문동,0.408
8821,1,01-03 13:00,동문동,0.392
8822,1,01-03 14:00,동문동,0.392
8823,1,01-03 15:00,동문동,0.412
8824,1,01-03 16:00,동문동,0.42
8825,1,01-03 17:00,동문동,0.42
8826,1,01-03 18:00,동문동,0.432
8827,1,01-03 19:00,동문동,0.472
8828,1,01-03 20:00,동문동,0.544
8829,1,01-03 21:00,동문동,0.588
8830,1,01-03 22:00,동문동,0.596
8831,1,01-03 23:00,동문동,0.58
8832,1,01-04 00:00,동문동,0.56
8833,1,01-04 01:00,동문동,0.532
8834,1,01-04 02:00,동문동,0.496
8835,1,01-04 03:00,동문동,0.476
8836,1,01-04 04:00,동문동,0.46
8837,1,01-04 05:00,동문동,0.436
8838,1,01-04 06:00,동문동,0.408
8839,1,01-04 07:00,동문동,0.38
8840,1,01-04 08:00,동문동,0.408
8841,1,01-04 09:00,동문동,0.372
8842,1,01-04 10:00,동문동,0.424
8843,1,01-04 11:00,동문동,0.364
8844,1,01-04 12:00,동문동,0.332
8845,1,01-04 13:00,동문동,0.308
8846,1,01-04 14:00,동문동,0.24
8847,1,01-04 15:00,동문동,0.152
8848,1,01-04 16:00,동문동,0.08
8849,1,01-04 17:00,동문동,0.044
8850,1,01-04 18:00,동문동,0.028
8851,1,01-04 19:00,동문동,0.016
8852,1,01-04 20:00,동문동,0.012
8853,1,01-04 21:00,동문동,0.02
8854,1,01-04 22:00,동문동,0.032
8855,1,01-04 23:00,동문동,0.044
8856,1,01-05 00:00,동문동,0.048
8857,1,01-05 01:00,동문동,0.048
8858,1,01-05 02:00,동문동,0.048
8859,1,01-05 03:00,동문동,0.048
8860,1,01-05 04:00,동문동,0.048
8861,1,01-05 05:00,동문동,0.044
8862,1,01-05 06:00,동문동,0.04
8863,1,01-05 07:00,동문동,0.04
8864,1,01-05 08:00,동문동,0.04
8865,1,01-05 09:00,동문동,0.048
8866,1,01-05 10:00,동문동,0.048
8867,1,01-05 11:00,동문동,0.052
8868,1,01-05 12:00,동문동,0.048
8869,1,01-05 13:00,동문동,0.028
8870,1,01-05 14:00,동문동,0.02
8871,1,01-05 15:00,동문동,0.016
8872,1,01-05 16:00,동문동,0.024
8873,1,01-05 17:00,동문동,0.024
8874,1,01-05 18:00,동문동,0.036
8875,1,01-05 19:00,동문동,0.04
8876,1,01-05 20:00,동문동,0.036
8877,1,01-05 21:00,동문동,0.032
8878,1,01-05 22:00,동문동,0.032
8879,1,01-05 23:00,동문동,0.048
8880,1,01-06 00:00,동문동,0.064
8881,1,01-06 01:00,동문동,0.06
8882,1,01-06 02:00,동문동,0.06
8883,1,01-06 03:00,동문동,0.052
8884,1,01-06 04:00,동문동,0.052
8885,1,01-06 05:00,동문동,0.044
8886,1,01-06 06:00,동문동,0.044
8887,1,01-06 07:00,동문동,0.048
8888,1,01-06 08:00,동문동,0.052
8889,1,01-06 09:00,동문동,0.06
8890,1,01-06 10:00,동문동,0.072
8891,1,01-06 11:00,동문동,0.084
8892,1,01-06 12:00,동문동,0.084
8893,1,01-06 13:00,동문동,0.072
8894,1,01-06 14:00,동문동,0.064
8895,1,01-06 15:00,동문동,0.06
8896,1,01-06 16:00,동문동,0.06
8897,1,01-06 17:00,동문동,0.064
8898,1,01-06 18:00,동문동,0.064
8899,1,01-06 19:00,동문동,0.076
8900,1,01-06 20:00,동문동,0.084
8901,1,01-06 21:00,동문동,0.084
8902,1,01-06 22:00,동문동,0.112
8903,1,01-06 23:00,동문동,0.124
8904,1,01-07 00:00,동문동,0.128
8905,1,01-07 01:00,동문동,0.152
8906,1,01-07 02:00,동문동,0.16
8907,1,01-07 03:00,동문동,0.148
8908,1,01-07 04:00,동문동,0.148
8909,1,01-07 05:00,동문동,0.152
8910,1,01-07 06:00,동문동,0.14
8911,1,01-07 07:00,동문동,0.136
8912,1,01-07 08:00,동문동,0.144
8913,1,01-07 09:00,동문동,0.152
8914,1,01-07 10:00,동문동,0.14
8915,1,01-07 11:00,동문동,0.12
8916,1,01-07 12:00,동문동,0.104
8917,1,01-07 13:00,동문동,0.096
8918,1,01-07 14:00,동문동,0.12
8919,1,01-07 15:00,동문동,0.14
8920,1,01-07 16:00,동문동,0.148
8921,1,01-07 17:00,동문동,0.152
8922,1,01-07 18:00,동문동,0.152
8923,1,01-07 19:00,동문동,0.148
8924,1,01-07 20:00,동문동,0.156
8925,1,01-07 21:00,동문동,0.168
8926,1,01-07 22:00,동문동,0.172
8927,1,01-07 23:00,동문동,0.184
8928,1,01-08 00:00,동문동,0.184
8929,1,01-08 01:00,동문동,0.176
8930,1,01-08 02:00,동문동,0.176
8931,1,01-08 03:00,동문동,0.192
8932,1,01-08 04:00,동문동,0.204
