,연도,일시,측정소,PM2.5
0,0,01-01 00:00,신흥동,0.044
1,0,01-01 01:00,신흥동,0.064
2,0,01-01 02:00,신흥동,0.06
3,0,01-01 03:00,신흥동,0.072
4,0,01-01 04:00,신흥동,0.08
5,0,01-01 05:00,신흥동,0.068
6,0,01-01 06:00,신흥동,0.076
7,0,01-01 07:00,신흥동,0.12
8,0,01-01 08:00,신흥동,0.18
9,0,01-01 09:00,신흥동,0.172
10,0,01-01 10:00,신흥동,0.108
11,0,01-01 11:00,신흥동,0.076
12,0,01-01 12:00,신흥동,0.064
13,0,01-01 13:00,신흥동,0.06
14,0,01-01 14:00,신흥동,0.072
15,0,01-01 15:00,신흥동,0.06
16,0,01-01 16:00,신흥동,0.04
17,0,01-01 17:00,신흥동,0.044
18,0,01-01 18:00,신흥동,0.076
19,0,01-01 19:00,신흥동,0.096
20,0,01-01 20:00,신흥동,0.104
21,0,01-01 21:00,신흥동,0.096
22,0,01-01 22:00,신흥동,0.096
23,0,01-01 23:00,신흥동,0.084
24,0,01-02 00:00,신흥동,0.096
25,0,01-02 01:00,신흥동,0.112
26,0,01-02 02:00,신흥동,0.104
27,0,01-02 03:00,신흥동,0.092
28,0,01-02 04:00,신흥동,0.1
29,0,01-02 05:00,신흥동,0.088
30,0,01-02 06:00,신흥동,0.084
31,0,01-02 07:00,신흥동,0.076
32,0,01-02 08:00,신흥동,0.096
33,0,01-02 09:00,신흥동,0.1
34,0,01-02 10:00,신흥동,0.112
35,0,01-02 11:00,신흥동,0.104
36,0,01-02 12:00,신흥동,0.124
37,0,01-02 13:00,신흥동,0.14
38,0,01-02 14:00,신흥동,0.16
39,0,01-02 15:00,신흥동,0.156
40,0,01-02 16:00,신흥동,0.14
41,0,01-02 17:00,신흥동,0.144
42,0,01-02 18:00,신흥동,0.136
43,0,01-02 19:00,신흥동,0.144
44,0,01-02 20:00,신흥동,0.168
45,0,01-02 21:00,신흥동,0.192
46,0,01-02 22:00,신흥동,0.192
47,0,01-02 23:00,신흥동,0.22
48,0,01-03 00:00,신흥동,0.212
49,0,01-03 01:00,신흥동,0.212
