,연도,일시,측정소,PM2.5
26280,3,01-01 00:00,아름동,0.092
26281,3,01-01 01:00,아름동,0.116
26282,3,01-01 02:00,아름동,0.116
26283,3,01-01 03:00,아름동,0.112
26284,3,01-01 04:00,아름동,0.104
26285,3,01-01 05:00,아름동,0.12
26286,3,01-01 06:00,아름동,0.104
26287,3,01-01 07:00,아름동,0.12
26288,3,01-01 08:00,아름동,0.116
26289,3,01-01 09:00,아름동,0.16
26290,3,01-01 10:00,아름동,0.176
26291,3,01-01 11:00,아름동,0.196
26292,3,01-01 12:00,아름동,0.184
26293,3,01-01 13:00,아름동,0.124
26294,3,01-01 14:00,아름동,0.144
26295,3,01-01 15:00,아름동,0.132
26296,3,01-01 16:00,아름동,0.132
26297,3,01-01 17:00,아름동,0.144
26298,3,01-01 18:00,아름동,0.152
26299,3,01-01 19:00,아름동,0.148
26300,3,01-01 20:00,아름동,0.18
26301,3,01-01 21:00,아름동,0.188
26302,3,01-01 22:00,아름동,0.188
26303,3,01-01 23:00,아름동,0.196
26304,3,01-02 00:00,아름동,0.228
26305,3,01-02 01:00,아름동,0.204
26306,3,01-02 02:00,아름동,0.192
26307,3,01-02 03:00,아름동,0.208
26308,3,01-02 04:00,아름동,0.18
26309,3,01-02 05:00,아름동,0.212
26310,3,01-02 06:00,아름동,0.204
26311,3,01-02 07:00,아름동,0.204
26312,3,01-02 08:00,아름동,0.208
26313,3,01-02 09:00,아름동,0.196
26314,3,01-02 10:00,아름동,0.212
26315,3,01-02 11:00,아름동,0.196
26316,3,01-02 12:00,아름동,0.14
26317,3,01-02 13:00,아름동,0.072
26318,3,01-02 14:00,아름동,0.108
26319,3,01-02 15:00,아름동,0.104
26320,3,01-02 16:00,아름동,0.128
26321,3,01-02 17:00,아름동,0.16
26322,3,01-02 18:00,아름동,0.16
26323,3,01-02 19:00,아름동,0.152
26324,3,01-02 20:00,아름동,0.148
26325,3,01-02 21:00,아름동,0.156
26326,3,01-02 22:00,아름동,0.152
26327,3,01-02 23:00,아름동,0.152
26328,3,01-03 00:00,아름동,0.164
26329,3,01-03 01:00,아름동,0.18
26330,3,01-03 02:00,아름동,0.16
26331,3,01-03 03:00,아름동,0.16
26332,3,01-03 04:00,아름동,0.152
26333,3,01-03 05:00,아름동,0.144
26334,3,01-03 06:00,아름동,0.132
26335,3,01-03 07:00,아름동,0.156
26336,3,01-03 08:00,아름동,0.18
26337,3,01-03 09:00,아름동,0.2
26338,3,01-03 10:00,아름동,0.224
26339,3,01-03 11:00,아름동,0.184
26340,3,01-03 12:00,아름동,0.064
26341,3,01-03 13:00,아름동,0.084
26342,3,01-03 14:00,아름동,0.112
26343,3,01-03 15:00,아름동,0.124
26344,3,01-03 16:00,아름동,0.136
26345,3,01-03 17:00,아름동,0.124
26346,3,01-03 18:00,아름동,0.116
26347,3,01-03 19:00,아름동,0.18
26348,3,01-03 20:00,아름동,0.168
26349,3,01-03 21:00,아름동,0.152
26350,3,01-03 22:00,아름동,0.14
26351,3,01-03 23:00,아름동,0.144
26352,3,01-04 00:00,아름동,0.108
26353,3,01-04 01:00,아름동,0.168
26354,3,01-04 02:00,아름동,0.16
26355,3,01-04 03:00,아름동,0.152
26356,3,01-04 04:00,아름동,0.132
26357,3,01-04 05:00,아름동,0.116
26358,3,01-04 06:00,아름동,0.132
26359,3,01-04 07:00,아름동,0.116
26360,3,01-04 08:00,아름동,0.124
26361,3,01-04 09:00,아름동,0.14
26362,3,01-04 10:00,아름동,0.204
26363,3,01-04 11:00,아름동,0.116
26364,3,01-04 12:00,아름동,0.068
26365,3,01-04 13:00,아름동,0.088
26366,3,01-04 14:00,아름동,0.14
26367,3,01-04 15:00,아름동,0.168
26368,3,01-04 16:00,아름동,0.192
26369,3,01-04 17:00,아름동,0.276
26370,3,01-04 18:00,아름동,0.116
26371,3,01-04 19:00,아름동,0.132
26372,3,01-04 20:00,아름동,0.196
26373,3,01-04 21:00,아름동,0.18
26374,3,01-04 22:00,아름동,0.176
26375,3,01-04 23:00,아름동,0.16
26376,3,01-05 00:00,아름동,0.152
26377,3,01-05 01:00,아름동,0.18
26378,3,01-05 02:00,아름동,0.188
26379,3,01-05 03:00,아름동,0.176
26380,3,01-05 04:00,아름동,0.172
26381,3,01-05 05:00,아름동,0.164
26382,3,01-05 06:00,아름동,0.16
26383,3,01-05 07:00,아름동,0.132
26384,3,01-05 08:00,아름동,0.128
26385,3,01-05 09:00,아름동,0.144
26386,3,01-05 10:00,아름동,0.14
26387,3,01-05 11:00,아름동,0.068
26388,3,01-05 12:00,아름동,0.004
26389,3,01-05 13:00,아름동,0.004
26390,3,01-05 14:00,아름동,0.016
26391,3,01-05 15:00,아름동,0.052
26392,3,01-05 16:00,아름동,0.108
26393,3,01-05 17:00,아름동,0.3
26394,3,01-05 18:00,아름동,0.348
26395,3,01-05 19:00,아름동,0.22
26396,3,01-05 20:00,아름동,0.152
26397,3,01-05 21:00,아름동,0.12
26398,3,01-05 22:00,아름동,0.132
26399,3,01-05 23:00,아름동,0.144
26400,3,01-06 00:00,아름동,0.168
26401,3,01-06 01:00,아름동,0.196
26402,3,01-06 02:00,아름동,0.176
26403,3,01-06 03:00,아름동,0.188
26404,3,01-06 04:00,아름동,0.184
26405,3,01-06 05:00,아름동,0.192
26406,3,01-06 06:00,아름동,0.168
26407,3,01-06 07:00,아름동,0.148
26408,3,01-06 08:00,아름동,0.124
26409,3,01-06 09:00,아름동,0.124
26410,3,01-06 10:00,아름동,0.12
26411,3,01-06 11:00,아름동,0.124
26412,3,01-06 12:00,아름동,0.112
26413,3,01-06 13:00,아름동,0.04
26414,3,01-06 14:00,아름동,0.02
26415,3,01-06 15:00,아름동,0.052
26416,3,01-06 16:00,아름동,0.068
26417,3,01-06 17:00,아름동,0.036
26418,3,01-06 18:00,아름동,0.012
26419,3,01-06 19:00,아름동,0.032
26420,3,01-06 20:00,아름동,0.028
26421,3,01-06 21:00,아름동,0.008
26422,3,01-06 22:00,아름동,0.012
26423,3,01-06 23:00,아름동,0.016
26424,3,01-07 00:00,아름동,0.008
