,연도,일시,측정소,PM2.5
26280,3,01-01 00:00,홍성읍,0.128
26281,3,01-01 01:00,홍성읍,0.144
26282,3,01-01 02:00,홍성읍,0.128
26283,3,01-01 03:00,홍성읍,0.16
26284,3,01-01 04:00,홍성읍,0.156
26285,3,01-01 05:00,홍성읍,0.156
26286,3,01-01 06:00,홍성읍,0.176
26287,3,01-01 07:00,홍성읍,0.192
26288,3,01-01 08:00,홍성읍,0.184
26289,3,01-01 09:00,홍성읍,0.248
26290,3,01-01 10:00,홍성읍,0.22
26291,3,01-01 11:00,홍성읍,0.204
26292,3,01-01 12:00,홍성읍,0.18
26293,3,01-01 13:00,홍성읍,0.144
26294,3,01-01 14:00,홍성읍,0.096
26295,3,01-01 15:00,홍성읍,0.092
26296,3,01-01 16:00,홍성읍,0.08
26297,3,01-01 17:00,홍성읍,0.112
26298,3,01-01 18:00,홍성읍,0.112
26299,3,01-01 19:00,홍성읍,0.132
26300,3,01-01 20:00,홍성읍,0.16
26301,3,01-01 21:00,홍성읍,0.148
26302,3,01-01 22:00,홍성읍,0.156
26303,3,01-01 23:00,홍성읍,0.172
26304,3,01-02 00:00,홍성읍,0.164
26305,3,01-02 01:00,홍성읍,0.18
26306,3,01-02 02:00,홍성읍,0.18
26307,3,01-02 03:00,홍성읍,0.188
26308,3,01-02 04:00,홍성읍,0.18
26309,3,01-02 05:00,홍성읍,0.184
26310,3,01-02 06:00,홍성읍,0.176
26311,3,01-02 07:00,홍성읍,0.208
26312,3,01-02 08:00,홍성읍,0.192
26313,3,01-02 09:00,홍성읍,0.224
26314,3,01-02 10:00,홍성읍,0.2
26315,3,01-02 11:00,홍성읍,0.148
26316,3,01-02 12:00,홍성읍,0.132
26317,3,01-02 13:00,홍성읍,0.136
26318,3,01-02 14:00,홍성읍,0.152
26319,3,01-02 15:00,홍성읍,0.152
26320,3,01-02 16:00,홍성읍,0.156
26321,3,01-02 17:00,홍성읍,0.152
26322,3,01-02 18:00,홍성읍,0.128
26323,3,01-02 19:00,홍성읍,0.132
26324,3,01-02 20:00,홍성읍,0.18
